ma,bb_p,bb_m,pb,sl,buf,rr,ses,f1,f2,f3,mean,min,wr,pf,trd,robust
ribbon_ema55_ema100,14,1.500,3,candle,2.000,1.500,all,187.635,-36.340,-231.010,-26.572,-231.010,41.934,0.989,1740,False
ribbon_ema55_ema100,14,1.500,3,candle,2.000,1.500,hot8,40.895,13.395,-252.900,-66.203,-252.900,39.818,0.946,832,False
ribbon_ema55_ema100,14,1.500,3,candle,2.000,2.000,all,92.260,6.420,-206.420,-35.913,-206.420,35.629,0.988,1569,False
ribbon_ema55_ema100,14,1.500,3,candle,2.000,2.000,hot8,-156.420,40.290,-203.460,-106.530,-203.460,33.440,0.909,782,False
ribbon_ema55_ema100,14,1.500,3,candle,2.000,3.000,all,323.350,-6.750,-218.740,32.620,-218.740,30.267,1.024,1373,False
ribbon_ema55_ema100,14,1.500,3,candle,2.000,3.000,hot8,-157.830,14.410,-305.340,-149.587,-305.340,26.394,0.868,742,False
ribbon_ema55_ema100,14,1.500,3,candle,3.000,1.500,all,228.650,25.300,-270.760,-5.603,-270.760,42.013,1.011,1440,False
ribbon_ema55_ema100,14,1.500,3,candle,3.000,1.500,hot8,-1.190,3.160,-184.575,-60.868,-184.575,40.405,0.947,728,False
ribbon_ema55_ema100,14,1.500,3,candle,3.000,2.000,all,221.790,56.560,-94.890,61.153,-94.890,37.406,1.046,1308,False
ribbon_ema55_ema100,14,1.500,3,candle,3.000,2.000,hot8,-116.480,2.470,-270.490,-128.167,-270.490,34.007,0.886,696,False
ribbon_ema55_ema100,14,1.500,3,candle,3.000,3.000,all,311.800,-17.060,-285.790,2.983,-285.790,32.428,1.012,1161,False
ribbon_ema55_ema100,14,1.500,3,candle,3.000,3.000,hot8,-60.750,-15.900,-335.600,-137.417,-335.600,28.412,0.878,650,False
ribbon_ema55_ema100,14,1.500,3,pullback,2.000,1.500,all,429.360,-70.855,-152.040,68.822,-152.040,42.513,1.035,1450,False
ribbon_ema55_ema100,14,1.500,3,pullback,2.000,1.500,hot8,143.050,10.065,-76.285,25.610,-76.285,41.558,1.034,754,False
ribbon_ema55_ema100,14,1.500,3,pullback,2.000,2.000,all,174.780,-1.010,-100.000,24.590,-100.000,36.999,1.017,1336,False
ribbon_ema55_ema100,14,1.500,3,pullback,2.000,2.000,hot8,-106.990,43.370,-161.470,-75.030,-161.470,34.159,0.942,716,False
ribbon_ema55_ema100,14,1.500,3,pullback,2.000,3.000,all,330.100,-37.990,-178.750,37.787,-178.750,32.230,1.023,1188,False
ribbon_ema55_ema100,14,1.500,3,pullback,2.000,3.000,hot8,-38.820,36.830,-343.560,-115.183,-343.560,28.114,0.909,667,False
ribbon_ema55_ema100,14,1.500,3,pullback,3.000,1.500,all,385.965,-3.015,-222.260,53.563,-222.260,43.059,1.038,1255,False
ribbon_ema55_ema100,14,1.500,3,pullback,3.000,1.500,hot8,37.370,13.490,-14.685,12.058,-14.685,41.458,1.017,669,False
ribbon_ema55_ema100,14,1.500,3,pullback,3.000,2.000,all,296.390,-14.390,-269.400,4.200,-269.400,38.471,1.013,1145,False
ribbon_ema55_ema100,14,1.500,3,pullback,3.000,2.000,hot8,-40.360,-17.740,-218.470,-92.190,-218.470,35.043,0.915,636,False
ribbon_ema55_ema100,14,1.500,3,pullback,3.000,3.000,all,315.420,-59.960,-396.680,-47.073,-396.680,34.083,0.983,1041,False
ribbon_ema55_ema100,14,1.500,3,pullback,3.000,3.000,hot8,-14.020,-31.900,-232.140,-92.687,-232.140,30.463,0.911,600,False
