config,bias,bb,ses,rr,robust,trades,wr,net,pf,dd,eff_rr,losing_months,n_months,worst_month,mcl
strong_reject_ribbon,15M_ribbon,"20,2.0",all,1.500,True,97,52.577,290.460,1.733,61.490,1.563,1,4,-27.545,6
strong_reject_ribbon,15M_ribbon,"20,2.0",all,2.000,True,97,40.206,230.730,1.463,79.630,2.176,1,4,-8.490,8
strong_reject_ribbon,15M_ribbon,"20,2.0",all,3.000,True,94,30.851,248.600,1.462,75.850,3.278,1,4,-46.530,9
strong_reject_ribbon,15M_ribbon,"20,2.0",LNY,1.500,False,50,46.000,24.035,1.095,68.980,1.285,1,4,-23.445,6
strong_reject_ribbon,15M_ribbon,"20,2.0",LNY,2.000,False,50,36.000,10.960,1.038,85.800,1.845,2,4,-22.920,7
strong_reject_ribbon,15M_ribbon,"20,2.0",LNY,3.000,False,50,30.000,38.600,1.125,76.300,2.624,2,4,-33.020,9
strong_reject_ribbon,15M_ribbon,"30,1.5",all,1.500,True,151,50.993,355.835,1.530,68.300,1.471,0,4,17.555,6
strong_reject_ribbon,15M_ribbon,"30,1.5",all,2.000,True,149,42.282,365.430,1.476,83.920,2.014,0,4,2.700,6
strong_reject_ribbon,15M_ribbon,"30,1.5",all,3.000,True,142,33.803,375.150,1.451,90.220,2.842,0,4,5.570,8
strong_reject_ribbon,15M_ribbon,"30,1.5",LNY,1.500,True,69,46.377,107.840,1.315,58.105,1.520,0,4,13.885,5
strong_reject_ribbon,15M_ribbon,"30,1.5",LNY,2.000,True,67,35.821,97.300,1.252,68.110,2.243,2,4,-14.730,7
strong_reject_ribbon,15M_ribbon,"30,1.5",LNY,3.000,True,66,31.818,147.670,1.363,89.910,2.920,2,4,-33.460,10
strong_reject_ribbon,15M_4MA,"20,2.0",all,1.500,True,88,51.136,223.075,1.585,71.380,1.515,1,4,-16.245,7
strong_reject_ribbon,15M_4MA,"20,2.0",all,2.000,True,88,40.909,201.180,1.438,90.170,2.077,0,4,4.080,9
strong_reject_ribbon,15M_4MA,"20,2.0",all,3.000,True,87,31.034,207.160,1.407,98.780,3.127,1,4,-11.820,10
strong_reject_ribbon,15M_4MA,"20,2.0",LNY,1.500,False,44,43.182,0.680,1.003,58.340,1.320,2,4,-30.205,5
strong_reject_ribbon,15M_4MA,"20,2.0",LNY,2.000,False,44,34.091,-5.900,0.978,69.540,1.891,3,4,-16.160,6
strong_reject_ribbon,15M_4MA,"20,2.0",LNY,3.000,True,44,27.273,-7.890,0.973,69.540,2.595,3,4,-30.220,7
strong_reject_ribbon,15M_4MA,"30,1.5",all,1.500,True,146,47.260,229.675,1.327,82.500,1.480,0,4,43.820,7
strong_reject_ribbon,15M_4MA,"30,1.5",all,2.000,True,143,40.559,284.290,1.371,94.810,2.009,0,4,49.070,7
strong_reject_ribbon,15M_4MA,"30,1.5",all,3.000,True,136,32.353,248.670,1.301,140.170,2.720,0,4,12.500,8
strong_reject_ribbon,15M_4MA,"30,1.5",LNY,1.500,True,63,44.444,92.495,1.280,67.930,1.600,0,4,5.770,6
strong_reject_ribbon,15M_4MA,"30,1.5",LNY,2.000,False,60,35.000,102.890,1.289,84.580,2.394,0,4,15.630,10
strong_reject_ribbon,15M_4MA,"30,1.5",LNY,3.000,False,58,31.034,96.520,1.255,96.510,2.789,2,4,-8.650,11
reject_only,15M_ribbon,"20,2.0",all,1.500,False,1349,39.881,-577.160,0.896,626.520,1.351,3,4,-291.115,12
reject_only,15M_ribbon,"20,2.0",all,2.000,False,1174,33.816,-283.260,0.947,485.760,1.853,3,4,-178.400,19
reject_only,15M_ribbon,"20,2.0",all,3.000,False,958,25.678,-268.330,0.945,516.520,2.736,3,4,-194.870,19
reject_only,15M_ribbon,"20,2.0",LNY,1.500,False,567,40.564,-225.775,0.900,358.750,1.319,2,4,-192.460,11
reject_only,15M_ribbon,"20,2.0",LNY,2.000,False,505,34.059,-132.020,0.941,325.470,1.822,2,4,-122.660,13
reject_only,15M_ribbon,"20,2.0",LNY,3.000,False,425,26.588,-101.150,0.952,421.030,2.629,2,4,-117.360,17
reject_only,15M_ribbon,"30,1.5",all,1.500,False,1393,38.981,-912.795,0.858,1012.545,1.343,4,4,-566.650,11
reject_only,15M_ribbon,"30,1.5",all,2.000,False,1214,33.114,-672.760,0.891,791.220,1.800,3,4,-385.600,13
reject_only,15M_ribbon,"30,1.5",all,3.000,False,972,24.074,-959.830,0.831,1127.360,2.620,4,4,-608.800,19
reject_only,15M_ribbon,"30,1.5",LNY,1.500,False,610,39.344,-341.385,0.875,467.700,1.349,3,4,-260.910,9
reject_only,15M_ribbon,"30,1.5",LNY,2.000,False,542,33.210,-248.820,0.907,401.430,1.823,3,4,-196.110,12
reject_only,15M_ribbon,"30,1.5",LNY,3.000,False,438,25.799,-117.200,0.951,415.520,2.736,3,4,-169.380,15
reject_only,15M_4MA,"20,2.0",all,1.500,False,1358,39.691,-646.515,0.886,707.760,1.346,4,4,-247.665,12
reject_only,15M_4MA,"20,2.0",all,2.000,False,1182,33.926,-286.400,0.947,393.460,1.845,4,4,-155.960,19
reject_only,15M_4MA,"20,2.0",all,3.000,False,973,26.310,-178.140,0.964,445.330,2.701,3,4,-151.410,21
reject_only,15M_4MA,"20,2.0",LNY,1.500,False,573,39.092,-351.885,0.852,434.545,1.328,3,4,-159.570,13
reject_only,15M_4MA,"20,2.0",LNY,2.000,False,500,32.600,-259.220,0.888,353.140,1.835,4,4,-103.940,15
reject_only,15M_4MA,"20,2.0",LNY,3.000,False,419,25.776,-171.820,0.920,327.560,2.649,3,4,-80.410,16
reject_only,15M_4MA,"30,1.5",all,1.500,False,1407,37.811,-1186.590,0.820,1270.750,1.349,4,4,-671.735,15
reject_only,15M_4MA,"30,1.5",all,2.000,False,1217,32.046,-860.800,0.863,981.840,1.830,4,4,-510.640,16
reject_only,15M_4MA,"30,1.5",all,3.000,False,965,23.834,-978.160,0.827,1143.330,2.643,4,4,-530.910,17
reject_only,15M_4MA,"30,1.5",LNY,1.500,False,607,38.880,-390.035,0.859,579.125,1.350,3,4,-306.360,11
reject_only,15M_4MA,"30,1.5",LNY,2.000,False,529,32.325,-331.840,0.876,539.450,1.834,3,4,-241.640,12
reject_only,15M_4MA,"30,1.5",LNY,3.000,False,426,24.413,-356.870,0.854,638.790,2.645,3,4,-289.030,21
ribbon_cross,15M_ribbon,"20,2.0",all,1.500,False,1290,38.837,-535.310,0.920,693.645,1.448,3,4,-395.980,14
ribbon_cross,15M_ribbon,"20,2.0",all,2.000,False,1110,32.973,-287.500,0.955,532.870,1.940,3,4,-277.290,16
ribbon_cross,15M_ribbon,"20,2.0",all,3.000,False,900,25.556,-302.330,0.947,510.410,2.758,3,4,-217.430,21
ribbon_cross,15M_ribbon,"20,2.0",LNY,1.500,False,573,39.791,75.420,1.027,279.645,1.554,2,4,-106.905,10
ribbon_cross,15M_ribbon,"20,2.0",LNY,2.000,False,503,34.195,185.340,1.069,339.380,2.057,2,4,-73.280,11
ribbon_cross,15M_ribbon,"20,2.0",LNY,3.000,False,430,26.279,67.180,1.026,405.220,2.878,2,4,-59.880,21
ribbon_cross,15M_ribbon,"30,1.5",all,1.500,False,1290,38.837,-535.310,0.920,693.645,1.448,3,4,-395.980,14
ribbon_cross,15M_ribbon,"30,1.5",all,2.000,False,1110,32.973,-287.500,0.955,532.870,1.940,3,4,-277.290,16
ribbon_cross,15M_ribbon,"30,1.5",all,3.000,False,900,25.556,-302.330,0.947,510.410,2.758,3,4,-217.430,21
ribbon_cross,15M_ribbon,"30,1.5",LNY,1.500,False,573,39.791,75.420,1.027,279.645,1.554,2,4,-106.905,10
ribbon_cross,15M_ribbon,"30,1.5",LNY,2.000,False,503,34.195,185.340,1.069,339.380,2.057,2,4,-73.280,11
ribbon_cross,15M_ribbon,"30,1.5",LNY,3.000,False,430,26.279,67.180,1.026,405.220,2.878,2,4,-59.880,21
ribbon_cross,15M_4MA,"20,2.0",all,1.500,False,1304,39.264,-500.450,0.926,600.415,1.432,3,4,-431.760,11
ribbon_cross,15M_4MA,"20,2.0",all,2.000,False,1104,32.971,-434.870,0.932,550.280,1.894,3,4,-385.880,12
ribbon_cross,15M_4MA,"20,2.0",all,3.000,False,888,25.113,-603.320,0.895,817.350,2.670,4,4,-253.740,20
ribbon_cross,15M_4MA,"20,2.0",LNY,1.500,False,578,39.965,52.040,1.018,241.340,1.530,2,4,-181.235,11
ribbon_cross,15M_4MA,"20,2.0",LNY,2.000,False,503,34.394,116.390,1.043,276.890,1.989,1,4,-166.270,14
ribbon_cross,15M_4MA,"20,2.0",LNY,3.000,False,416,26.683,64.700,1.025,368.620,2.818,2,4,-55.990,20
ribbon_cross,15M_4MA,"30,1.5",all,1.500,False,1304,39.264,-500.450,0.926,600.415,1.432,3,4,-431.760,11
ribbon_cross,15M_4MA,"30,1.5",all,2.000,False,1104,32.971,-434.870,0.932,550.280,1.894,3,4,-385.880,12
ribbon_cross,15M_4MA,"30,1.5",all,3.000,False,888,25.113,-603.320,0.895,817.350,2.670,4,4,-253.740,20
ribbon_cross,15M_4MA,"30,1.5",LNY,1.500,False,578,39.965,52.040,1.018,241.340,1.530,2,4,-181.235,11
ribbon_cross,15M_4MA,"30,1.5",LNY,2.000,False,503,34.394,116.390,1.043,276.890,1.989,1,4,-166.270,14
ribbon_cross,15M_4MA,"30,1.5",LNY,3.000,False,416,26.683,64.700,1.025,368.620,2.818,2,4,-55.990,20
