label,trades,wr,net,pf,dd,avg_win,avg_loss,eff_rr,losing_months,n_months,worst_month,mcl
fixed rr=1.5,1010,46.436,790.905,1.175,205.765,11.303,8.337,1.356,3,18,-100.500,16
fixed rr=2.0,922,39.479,497.000,1.111,275.510,13.635,8.004,1.704,4,18,-87.100,16
fixed rr=3.0,856,33.411,253.110,1.057,317.850,16.339,7.754,2.107,8,18,-169.970,17
fixed rr=4.0,827,31.076,139.760,1.032,473.610,17.634,7.706,2.288,8,18,-145.420,17
fixed rr=5.0,821,30.451,424.730,1.097,396.770,19.183,7.655,2.506,7,18,-129.170,17
scaleout rr=3.0 tp1_at_r=1.0 tp1_close_frac=0.5 trail_method=swing,1118,55.546,317.970,1.074,386.150,7.400,8.606,0.860,6,18,-90.170,13
scaleout rr=3.0 tp1_at_r=1.0 tp1_close_frac=0.5 trail_method=ema21,1147,55.100,156.190,1.035,439.428,7.402,8.780,0.843,7,18,-147.886,13
scaleout rr=3.0 tp1_at_r=1.0 tp1_close_frac=0.5 trail_method=None,1093,55.352,89.345,1.021,518.850,7.057,8.566,0.824,7,18,-150.005,13
scaleout rr=3.0 tp1_at_r=1.0 tp1_close_frac=0.7 trail_method=swing,1118,55.546,403.274,1.094,302.830,7.537,8.606,0.876,6,18,-78.876,13
scaleout rr=3.0 tp1_at_r=1.0 tp1_close_frac=0.7 trail_method=ema21,1147,55.100,282.046,1.062,355.415,7.601,8.780,0.866,7,18,-119.704,13
scaleout rr=3.0 tp1_at_r=1.0 tp1_close_frac=0.7 trail_method=None,1093,55.352,244.575,1.059,374.165,7.314,8.566,0.854,6,18,-107.363,13
scaleout rr=3.0 tp1_at_r=1.5 tp1_close_frac=0.5 trail_method=swing,980,47.143,817.450,1.200,171.540,10.614,7.888,1.346,3,18,-83.773,16
scaleout rr=3.0 tp1_at_r=1.5 tp1_close_frac=0.5 trail_method=ema21,992,46.875,580.987,1.135,219.198,10.536,8.194,1.286,5,18,-86.362,16
