ma_combo,pattern,rr,sl_buf,trades,win_rate,tp_rate,sl_rate,net_pts,avg_trade_pts,profit_factor,max_dd_pts,trades_per_day,p1_share,p2_share,mode,sl_method
ribbon_ema55,P2,5.000,2.000,283,26.855,20.495,72.438,993.280,3.510,1.707,204.105,2.803,0.000,100.000,m1,ema21
ribbon_ema55,P2,5.000,3.000,271,28.044,18.081,71.587,940.524,3.471,1.622,230.105,2.684,0.000,100.000,m1,ema21
ribbon_only,P2,5.000,2.000,272,25.735,19.485,73.529,904.174,3.324,1.651,231.885,2.694,0.000,100.000,m1,ema21
ribbon_ema55,P2,4.000,2.000,292,29.110,25.342,70.205,868.754,2.975,1.606,158.266,2.892,0.000,100.000,m1,ema21
ribbon_ema55,P2,4.000,3.000,281,29.537,23.132,69.751,851.846,3.031,1.553,244.366,2.783,0.000,100.000,m1,ema21
ribbon_only,P2,5.000,3.000,261,26.820,17.241,72.797,831.623,3.186,1.556,261.885,2.585,0.000,100.000,m1,ema21
ribbon_only,P2,4.000,2.000,281,28.470,24.911,70.819,826.504,2.941,1.585,198.288,2.783,0.000,100.000,m1,ema21
ribbon_ema100,P2,5.000,2.000,288,25.000,19.097,74.306,819.640,2.846,1.565,192.026,2.853,0.000,100.000,m1,ema21
ribbon_ema55_ema100,P2,5.000,2.000,288,25.000,19.097,74.306,819.640,2.846,1.565,192.026,2.853,0.000,100.000,m1,ema21
ribbon_only,P2,4.000,3.000,271,28.782,22.509,70.480,794.390,2.931,1.523,271.554,2.684,0.000,100.000,m1,ema21
ribbon_ema55_ema100,P2,5.000,3.000,275,25.818,17.455,73.818,753.089,2.739,1.480,216.026,2.724,0.000,100.000,m1,ema21
ribbon_ema100,P2,5.000,3.000,275,25.818,17.455,73.818,753.089,2.739,1.480,216.026,2.724,0.000,100.000,m1,ema21
ribbon_ema100,P2,4.000,3.000,283,28.269,22.615,71.025,752.913,2.660,1.481,230.287,2.803,0.000,100.000,m1,ema21
ribbon_ema55_ema100,P2,4.000,3.000,283,28.269,22.615,71.025,752.913,2.660,1.481,230.287,2.803,0.000,100.000,m1,ema21
ribbon_only,P2,3.000,2.000,288,33.333,32.292,65.972,751.706,2.610,1.550,105.377,2.853,0.000,100.000,m1,ema21
ribbon_ema55,P2,3.000,2.000,299,33.445,32.441,65.886,745.680,2.494,1.533,88.153,2.962,0.000,100.000,m1,ema21
ribbon_ema100,P2,4.000,2.000,294,27.211,23.810,72.109,722.487,2.457,1.494,156.134,2.912,0.000,100.000,m1,ema21
ribbon_ema55_ema100,P2,4.000,2.000,294,27.211,23.810,72.109,722.487,2.457,1.494,156.134,2.912,0.000,100.000,m1,ema21
ribbon_ema55,P2,3.000,3.000,287,32.753,29.965,66.899,690.693,2.407,1.452,208.131,2.843,0.000,100.000,m1,ema21
