ma_combo,pattern,rr,sl_buf,trades,win_rate,tp_rate,sl_rate,net_pts,avg_trade_pts,profit_factor,max_dd_pts,trades_per_day,p1_share,p2_share,mode,sl_method
ribbon_ema100,P2,5.000,3.000,240,25.833,12.083,71.667,426.440,1.777,1.156,541.240,2.391,0.000,100.000,m30_15,swing3m
ribbon_ema55_ema100,P2,5.000,3.000,240,25.833,12.083,71.667,426.440,1.777,1.156,541.240,2.391,0.000,100.000,m30_15,swing3m
ribbon_ema55_ema100,P1,5.000,2.000,374,25.668,9.893,70.321,418.050,1.118,1.115,606.050,3.723,100.000,0.000,m30_15,swing3m
ribbon_ema100,P1,5.000,2.000,374,25.668,9.893,70.321,418.050,1.118,1.115,606.050,3.723,100.000,0.000,m30_15,swing3m
ribbon_ema55_ema100,P2,5.000,2.000,252,24.603,12.302,73.413,410.610,1.629,1.148,429.950,2.510,0.000,100.000,m30_15,swing3m
ribbon_ema100,P2,5.000,2.000,252,24.603,12.302,73.413,410.610,1.629,1.148,429.950,2.510,0.000,100.000,m30_15,swing3m
ribbon_ema100,P1,4.000,3.000,369,27.913,13.008,67.751,306.320,0.830,1.081,531.970,3.673,100.000,0.000,m30_15,swing3m
ribbon_ema55_ema100,P1,4.000,3.000,369,27.913,13.008,67.751,306.320,0.830,1.081,531.970,3.673,100.000,0.000,m30_15,swing3m
ribbon_ema100,P1,1.500,2.000,519,41.618,39.306,55.299,301.735,0.581,1.067,373.885,5.166,100.000,0.000,m30_15,swing3m
ribbon_ema55_ema100,P1,1.500,2.000,519,41.618,39.306,55.299,301.735,0.581,1.067,373.885,5.166,100.000,0.000,m30_15,swing3m
ribbon_ema100,P1,5.000,3.000,364,26.099,10.714,68.956,295.490,0.812,1.078,429.980,3.623,100.000,0.000,m30_15,swing3m
ribbon_ema55_ema100,P1,5.000,3.000,364,26.099,10.714,68.956,295.490,0.812,1.078,429.980,3.623,100.000,0.000,m30_15,swing3m
ribbon_ema55_ema100,P1,4.000,2.000,389,27.249,13.625,69.152,230.950,0.594,1.059,573.860,3.872,100.000,0.000,m30_15,swing3m
ribbon_ema100,P1,4.000,2.000,389,27.249,13.625,69.152,230.950,0.594,1.059,573.860,3.872,100.000,0.000,m30_15,swing3m
ribbon_only,P2,5.000,2.000,234,22.650,12.393,74.786,229.510,0.981,1.085,430.060,2.331,0.000,100.000,m30_15,swing3m
ribbon_only,P2,5.000,3.000,223,23.767,12.108,73.543,215.970,0.968,1.081,471.700,2.221,0.000,100.000,m30_15,swing3m
ribbon_ema55,P2,5.000,3.000,235,24.255,12.340,73.617,198.110,0.843,1.072,566.170,2.341,0.000,100.000,m30_15,swing3m
ribbon_ema55,P2,5.000,2.000,247,22.267,12.551,75.304,163.110,0.660,1.058,495.230,2.460,0.000,100.000,m30_15,swing3m
ribbon_ema55_ema100,P1,3.000,3.000,391,32.225,20.460,63.939,152.940,0.391,1.037,436.680,3.892,100.000,0.000,m30_15,swing3m
ribbon_ema100,P1,3.000,3.000,391,32.225,20.460,63.939,152.940,0.391,1.037,436.680,3.892,100.000,0.000,m30_15,swing3m
ribbon_only,P1,1.500,2.000,540,39.259,36.852,57.963,140.515,0.260,1.029,411.775,5.375,100.000,0.000,m30_15,swing3m
ribbon_only,P1,5.000,3.000,382,25.131,10.733,69.895,121.300,0.318,1.030,449.320,3.803,100.000,0.000,m30_15,swing3m
ribbon_ema55_ema100,P1,1.500,3.000,496,40.524,37.702,55.847,67.125,0.135,1.014,389.785,4.937,100.000,0.000,m30_15,swing3m
ribbon_ema100,P1,1.500,3.000,496,40.524,37.702,55.847,67.125,0.135,1.014,389.785,4.937,100.000,0.000,m30_15,swing3m
ribbon_ema55_ema100,P2,4.000,3.000,247,26.316,14.170,70.850,62.060,0.251,1.022,537.060,2.460,0.000,100.000,m30_15,swing3m
ribbon_ema100,P2,4.000,3.000,247,26.316,14.170,70.850,62.060,0.251,1.022,537.060,2.460,0.000,100.000,m30_15,swing3m
ribbon_ema100,P1,3.000,2.000,412,29.612,19.660,66.748,59.170,0.144,1.014,526.600,4.101,100.000,0.000,m30_15,swing3m
ribbon_ema55_ema100,P1,3.000,2.000,412,29.612,19.660,66.748,59.170,0.144,1.014,526.600,4.101,100.000,0.000,m30_15,swing3m
ribbon_ema100,P1,2.000,3.000,455,36.264,29.890,60.220,5.050,0.011,1.001,406.710,4.529,100.000,0.000,m30_15,swing3m
ribbon_ema55_ema100,P1,2.000,3.000,455,36.264,29.890,60.220,5.050,0.011,1.001,406.710,4.529,100.000,0.000,m30_15,swing3m
ribbon_only,P1,5.000,2.000,400,24.000,9.750,72.250,-3.620,-0.009,0.999,584.080,3.982,100.000,0.000,m30_15,swing3m
ribbon_only,P1,1.500,3.000,522,38.889,36.015,57.854,-4.580,-0.009,0.999,373.815,5.196,100.000,0.000,m30_15,swing3m
ribbon_ema55,P1,1.500,2.000,526,39.734,37.262,57.414,-18.210,-0.035,0.996,453.535,5.236,100.000,0.000,m30_15,swing3m
ribbon_ema100,P2,4.000,2.000,258,24.031,13.178,74.031,-62.380,-0.242,0.978,570.410,2.570,0.000,100.000,m30_15,swing3m
ribbon_ema55_ema100,P2,4.000,2.000,258,24.031,13.178,74.031,-62.380,-0.242,0.978,570.410,2.570,0.000,100.000,m30_15,swing3m
ribbon_ema55_ema100,both,4.000,3.000,403,27.543,13.648,68.983,-68.950,-0.171,0.985,644.740,4.012,68.238,31.762,m30_15,swing3m
ribbon_ema100,both,4.000,3.000,403,27.543,13.648,68.983,-68.950,-0.171,0.985,644.740,4.012,68.238,31.762,m30_15,swing3m
ribbon_ema55_ema100,both,1.500,2.000,586,39.249,37.372,58.532,-84.090,-0.143,0.985,718.935,5.833,70.137,29.863,m30_15,swing3m
ribbon_ema100,both,1.500,2.000,586,39.249,37.372,58.532,-84.090,-0.143,0.985,718.935,5.833,70.137,29.863,m30_15,swing3m
ribbon_only,P2,4.000,3.000,228,24.123,14.474,73.246,-121.870,-0.535,0.956,606.720,2.271,0.000,100.000,m30_15,swing3m
ribbon_ema55_ema100,P1,2.000,2.000,477,34.801,29.140,62.264,-126.530,-0.265,0.973,521.160,4.748,100.000,0.000,m30_15,swing3m
ribbon_ema100,P1,2.000,2.000,477,34.801,29.140,62.264,-126.530,-0.265,0.973,521.160,4.748,100.000,0.000,m30_15,swing3m
ribbon_ema100,both,4.000,2.000,427,26.464,13.817,70.726,-170.980,-0.400,0.962,718.030,4.251,67.916,32.084,m30_15,swing3m
ribbon_ema55_ema100,both,4.000,2.000,427,26.464,13.817,70.726,-170.980,-0.400,0.962,718.030,4.251,67.916,32.084,m30_15,swing3m
ribbon_only,P1,4.000,3.000,392,26.531,13.010,68.622,-174.080,-0.444,0.958,534.540,3.902,100.000,0.000,m30_15,swing3m
ribbon_only,P2,4.000,2.000,236,22.458,13.559,75.000,-179.200,-0.759,0.934,568.960,2.351,0.000,100.000,m30_15,swing3m
ribbon_ema55_ema100,both,5.000,2.000,415,24.578,10.602,72.289,-183.400,-0.442,0.960,733.590,4.131,66.747,33.253,m30_15,swing3m
ribbon_ema100,both,5.000,2.000,415,24.578,10.602,72.289,-183.400,-0.442,0.960,733.590,4.131,66.747,33.253,m30_15,swing3m
ribbon_only,P1,3.000,3.000,417,29.736,19.185,65.947,-188.740,-0.453,0.958,461.500,4.151,100.000,0.000,m30_15,swing3m
ribbon_ema55_ema100,both,5.000,3.000,395,25.823,10.633,70.633,-196.660,-0.498,0.958,612.370,3.932,66.835,33.165,m30_15,swing3m
ribbon_ema100,both,5.000,3.000,395,25.823,10.633,70.633,-196.660,-0.498,0.958,612.370,3.932,66.835,33.165,m30_15,swing3m
ribbon_ema55_ema100,both,2.000,2.000,523,35.564,29.637,62.141,-197.260,-0.377,0.963,526.980,5.206,69.790,30.210,m30_15,swing3m
ribbon_ema100,both,2.000,2.000,523,35.564,29.637,62.141,-197.260,-0.377,0.963,526.980,5.206,69.790,30.210,m30_15,swing3m
ribbon_ema55,P1,5.000,3.000,382,24.084,10.209,70.942,-200.110,-0.524,0.952,497.340,3.803,100.000,0.000,m30_15,swing3m
ribbon_only,P2,3.000,2.000,244,27.049,20.492,70.902,-203.970,-0.836,0.924,494.650,2.430,0.000,100.000,m30_15,swing3m
ribbon_ema55,P2,4.000,3.000,240,24.167,14.167,73.750,-211.650,-0.882,0.926,708.780,2.391,0.000,100.000,m30_15,swing3m
ribbon_ema55,P1,1.500,3.000,508,38.976,36.024,57.677,-213.550,-0.420,0.956,478.660,5.057,100.000,0.000,m30_15,swing3m
ribbon_ema55_ema100,both,2.000,3.000,494,35.628,29.555,61.134,-224.030,-0.454,0.957,667.320,4.917,71.255,28.745,m30_15,swing3m
ribbon_ema100,both,2.000,3.000,494,35.628,29.555,61.134,-224.030,-0.454,0.957,667.320,4.917,71.255,28.745,m30_15,swing3m
ribbon_only,P1,3.000,2.000,439,28.018,18.679,68.109,-239.670,-0.546,0.947,462.240,4.370,100.000,0.000,m30_15,swing3m
ribbon_ema55,P2,3.000,2.000,256,27.344,20.312,70.703,-241.380,-0.943,0.913,573.000,2.550,0.000,100.000,m30_15,swing3m
ribbon_only,P2,3.000,3.000,235,27.234,20.426,70.213,-245.460,-1.045,0.911,558.110,2.341,0.000,100.000,m30_15,swing3m
ribbon_ema100,P2,3.000,3.000,255,27.843,18.824,69.412,-258.690,-1.014,0.910,557.630,2.540,0.000,100.000,m30_15,swing3m
ribbon_ema55_ema100,P2,3.000,3.000,255,27.843,18.824,69.412,-258.690,-1.014,0.910,557.630,2.540,0.000,100.000,m30_15,swing3m
ribbon_ema55_ema100,both,1.500,3.000,553,39.060,36.709,57.866,-259.525,-0.469,0.954,689.825,5.505,70.705,29.295,m30_15,swing3m
ribbon_ema100,both,1.500,3.000,553,39.060,36.709,57.866,-259.525,-0.469,0.954,689.825,5.505,70.705,29.295,m30_15,swing3m
ribbon_ema55,P2,4.000,2.000,248,22.177,13.306,75.403,-260.440,-1.050,0.907,640.720,2.470,0.000,100.000,m30_15,swing3m
ribbon_ema55,P1,5.000,2.000,395,23.038,9.367,72.911,-278.660,-0.705,0.932,596.230,3.932,100.000,0.000,m30_15,swing3m
ribbon_only,P1,2.000,3.000,486,34.362,27.984,62.140,-279.540,-0.575,0.944,449.840,4.838,100.000,0.000,m30_15,swing3m
ribbon_only,P1,4.000,2.000,414,25.121,13.043,70.773,-288.210,-0.696,0.932,570.600,4.121,100.000,0.000,m30_15,swing3m
ribbon_ema100,P2,3.000,2.000,265,26.415,18.113,72.075,-295.090,-1.114,0.896,568.030,2.640,0.000,100.000,m30_15,swing3m
ribbon_ema55_ema100,P2,3.000,2.000,265,26.415,18.113,72.075,-295.090,-1.114,0.896,568.030,2.640,0.000,100.000,m30_15,swing3m
ribbon_only,P1,1.000,2.000,631,48.019,47.385,49.128,-313.480,-0.497,0.935,603.660,6.281,100.000,0.000,m30_15,swing3m
