ma_combo,pattern,rr,sl_buf,trades,win_rate,tp_rate,sl_rate,net_pts,avg_trade_pts,profit_factor,max_dd_pts,trades_per_day,p1_share,p2_share,mode,sl_method
ribbon_only,P1,5.000,3.000,3015,34.461,5.473,56.816,1401.406,0.465,1.097,348.780,1.954,100.000,0.000,m30_15,swing15m
ribbon_ema55,P1,5.000,3.000,3020,33.940,5.927,57.881,1337.096,0.443,1.093,362.549,1.957,100.000,0.000,m30_15,swing15m
ribbon_ema55,both,5.000,3.000,3406,32.648,6.577,59.454,1325.678,0.389,1.084,633.521,2.207,73.752,26.248,m30_15,swing15m
ribbon_only,both,5.000,3.000,3380,33.254,6.065,58.314,1292.822,0.382,1.081,547.652,2.190,75.089,24.911,m30_15,swing15m
ribbon_ema100,both,5.000,3.000,3468,30.911,7.382,61.419,1141.772,0.329,1.076,603.107,2.247,70.675,29.325,m30_15,swing15m
ribbon_ema55_ema100,both,5.000,3.000,3469,30.902,7.380,61.459,1137.097,0.328,1.075,607.127,2.248,70.597,29.403,m30_15,swing15m
ribbon_only,P1,5.000,2.000,3182,31.207,7.071,62.225,1109.189,0.349,1.078,447.078,2.062,100.000,0.000,m30_15,swing15m
ribbon_ema55,P1,5.000,2.000,3168,30.840,7.670,62.879,1100.117,0.347,1.079,525.833,2.053,100.000,0.000,m30_15,swing15m
ribbon_ema55_ema100,P2,5.000,2.000,1758,28.896,9.044,66.041,1093.365,0.622,1.167,387.128,1.140,0.000,100.000,m30_15,swing15m
ribbon_ema100,P2,5.000,2.000,1756,28.872,8.998,66.059,1075.492,0.612,1.164,387.128,1.138,0.000,100.000,m30_15,swing15m
ribbon_ema55_ema100,P1,5.000,2.000,3143,29.908,8.750,63.888,1066.586,0.339,1.081,576.069,2.037,100.000,0.000,m30_15,swing15m
ribbon_ema100,P1,5.000,2.000,3143,29.876,8.750,63.920,1064.782,0.339,1.081,577.874,2.037,100.000,0.000,m30_15,swing15m
ribbon_ema100,P1,5.000,3.000,3002,32.312,6.262,59.694,1062.871,0.354,1.078,525.956,1.945,100.000,0.000,m30_15,swing15m
ribbon_ema55_ema100,P1,5.000,3.000,3002,32.312,6.262,59.727,1060.566,0.353,1.077,528.260,1.945,100.000,0.000,m30_15,swing15m
ribbon_ema100,both,5.000,2.000,3654,28.736,9.305,65.353,1030.927,0.282,1.071,673.200,2.368,70.963,29.037,m30_15,swing15m
ribbon_ema55_ema100,both,5.000,2.000,3656,28.775,9.327,65.345,1030.757,0.282,1.071,672.714,2.369,70.897,29.103,m30_15,swing15m
ribbon_ema100,P2,5.000,3.000,1753,30.975,7.359,62.350,928.678,0.530,1.131,393.179,1.136,0.000,100.000,m30_15,swing15m
ribbon_ema55_ema100,P2,5.000,3.000,1754,30.958,7.355,62.372,926.851,0.528,1.131,393.179,1.137,0.000,100.000,m30_15,swing15m
ribbon_only,both,5.000,2.000,3600,29.944,7.278,63.694,914.140,0.254,1.058,550.312,2.333,74.833,25.167,m30_15,swing15m
ribbon_only,P1,4.000,2.000,3217,32.297,9.885,61.113,910.061,0.283,1.064,412.590,2.085,100.000,0.000,m30_15,swing15m
ribbon_ema55,P1,4.000,2.000,3202,32.105,10.587,61.587,901.213,0.281,1.064,441.561,2.075,100.000,0.000,m30_15,swing15m
ribbon_ema55,both,5.000,2.000,3618,29.574,8.126,64.400,880.946,0.243,1.057,619.293,2.344,73.411,26.589,m30_15,swing15m
ribbon_ema55_ema100,P2,4.000,2.000,1777,30.163,13.281,64.716,855.170,0.481,1.130,338.105,1.152,0.000,100.000,m30_15,swing15m
ribbon_ema100,P2,4.000,2.000,1775,30.141,13.239,64.732,841.097,0.474,1.128,340.472,1.151,0.000,100.000,m30_15,swing15m
ribbon_ema55,P2,5.000,2.000,1715,28.688,7.813,65.539,806.025,0.470,1.116,375.391,1.112,0.000,100.000,m30_15,swing15m
ribbon_only,P1,4.000,3.000,3039,34.814,7.996,56.334,781.855,0.257,1.053,453.504,1.969,100.000,0.000,m30_15,swing15m
ribbon_ema100,P1,4.000,2.000,3180,31.352,11.761,62.390,776.077,0.244,1.058,525.297,2.061,100.000,0.000,m30_15,swing15m
ribbon_ema55_ema100,P1,4.000,2.000,3179,31.362,11.765,62.378,775.558,0.244,1.058,525.816,2.060,100.000,0.000,m30_15,swing15m
ribbon_only,P1,3.000,2.000,3301,33.959,15.450,59.346,752.786,0.228,1.052,469.286,2.139,100.000,0.000,m30_15,swing15m
ribbon_ema55,P1,3.000,2.000,3276,33.822,15.812,59.799,733.132,0.224,1.051,474.466,2.123,100.000,0.000,m30_15,swing15m
ribbon_only,P1,3.000,3.000,3096,36.143,12.597,54.877,720.937,0.233,1.048,463.367,2.006,100.000,0.000,m30_15,swing15m
ribbon_only,P2,5.000,2.000,1699,28.605,7.004,65.627,691.651,0.407,1.098,433.348,1.101,0.000,100.000,m30_15,swing15m
ribbon_ema55,P1,4.000,3.000,3048,34.318,8.465,57.382,675.385,0.222,1.046,478.513,1.975,100.000,0.000,m30_15,swing15m
ribbon_ema55,P2,5.000,3.000,1682,31.034,6.243,61.415,661.560,0.393,1.089,438.965,1.090,0.000,100.000,m30_15,swing15m
ribbon_ema55,P1,3.000,3.000,3107,35.790,13.099,55.809,654.280,0.211,1.044,468.547,2.013,100.000,0.000,m30_15,swing15m
ribbon_ema55,P2,4.000,2.000,1735,29.625,11.758,64.726,648.890,0.374,1.094,347.359,1.125,0.000,100.000,m30_15,swing15m
ribbon_ema100,P2,3.000,3.000,1782,33.895,16.386,59.371,643.501,0.361,1.092,402.407,1.155,0.000,100.000,m30_15,swing15m
ribbon_ema55_ema100,P2,3.000,3.000,1783,33.875,16.377,59.394,641.673,0.360,1.091,405.402,1.156,0.000,100.000,m30_15,swing15m
ribbon_ema55_ema100,P2,3.000,2.000,1797,32.332,19.254,62.549,635.432,0.354,1.098,438.605,1.165,0.000,100.000,m30_15,swing15m
ribbon_ema100,P2,3.000,2.000,1795,32.312,19.220,62.563,625.159,0.348,1.096,446.932,1.164,0.000,100.000,m30_15,swing15m
ribbon_ema100,P2,4.000,3.000,1762,31.612,9.989,61.635,624.876,0.355,1.088,405.068,1.142,0.000,100.000,m30_15,swing15m
ribbon_ema55_ema100,P2,4.000,3.000,1763,31.594,9.983,61.656,623.048,0.353,1.087,408.062,1.143,0.000,100.000,m30_15,swing15m
ribbon_only,P2,5.000,3.000,1659,31.284,5.546,60.820,569.277,0.343,1.076,534.806,1.075,0.000,100.000,m30_15,swing15m
ribbon_only,both,3.000,2.000,3757,32.952,16.077,60.633,554.122,0.147,1.034,565.880,2.434,75.007,24.993,m30_15,swing15m
ribbon_only,P2,4.000,2.000,1718,29.569,10.943,64.843,548.455,0.319,1.078,392.535,1.114,0.000,100.000,m30_15,swing15m
ribbon_ema55,P2,3.000,2.000,1757,31.645,17.758,62.777,497.774,0.283,1.072,456.603,1.139,0.000,100.000,m30_15,swing15m
ribbon_ema55,P2,3.000,3.000,1712,33.411,14.953,59.287,453.935,0.265,1.062,438.664,1.110,0.000,100.000,m30_15,swing15m
ribbon_ema100,P1,4.000,3.000,3031,32.926,9.139,58.957,446.881,0.147,1.032,630.951,1.964,100.000,0.000,m30_15,swing15m
ribbon_ema55_ema100,P1,4.000,3.000,3031,32.926,9.139,58.990,445.529,0.147,1.032,632.302,1.964,100.000,0.000,m30_15,swing15m
ribbon_ema55,both,3.000,2.000,3764,32.678,16.658,61.158,445.488,0.118,1.028,616.263,2.439,73.672,26.328,m30_15,swing15m
ribbon_ema55,P2,4.000,3.000,1690,31.479,8.876,61.006,441.752,0.261,1.060,476.743,1.095,0.000,100.000,m30_15,swing15m
ribbon_only,both,4.000,2.000,3655,30.917,10.424,62.654,437.503,0.120,1.027,632.344,2.368,74.856,25.144,m30_15,swing15m
ribbon_ema55_ema100,P1,3.000,2.000,3257,33.374,16.825,60.239,436.423,0.134,1.032,469.825,2.110,100.000,0.000,m30_15,swing15m
ribbon_ema100,P1,3.000,2.000,3258,33.364,16.820,60.252,435.594,0.134,1.032,469.825,2.111,100.000,0.000,m30_15,swing15m
ribbon_ema100,both,4.000,2.000,3717,30.105,12.618,63.842,415.133,0.112,1.028,726.006,2.409,71.079,28.921,m30_15,swing15m
ribbon_ema55,both,3.000,3.000,3530,34.844,13.994,57.167,412.430,0.117,1.025,728.858,2.287,73.824,26.176,m30_15,swing15m
ribbon_ema55_ema100,both,4.000,2.000,3718,30.124,12.641,63.852,408.840,0.110,1.027,731.643,2.409,71.006,28.994,m30_15,swing15m
ribbon_ema100,both,3.000,2.000,3809,32.607,17.852,61.250,404.869,0.106,1.027,663.247,2.468,71.226,28.774,m30_15,swing15m
ribbon_ema55_ema100,both,3.000,2.000,3810,32.625,17.874,61.260,396.124,0.104,1.026,671.337,2.469,71.155,28.845,m30_15,swing15m
ribbon_only,P2,3.000,2.000,1741,31.419,16.829,63.125,380.038,0.218,1.054,471.496,1.129,0.000,100.000,m30_15,swing15m
ribbon_ema55,both,4.000,2.000,3673,30.574,11.299,63.273,379.252,0.103,1.024,682.728,2.380,73.428,26.572,m30_15,swing15m
ribbon_only,P2,4.000,3.000,1667,31.734,8.278,60.468,372.203,0.223,1.050,552.046,1.081,0.000,100.000,m30_15,swing15m
ribbon_only,both,3.000,3.000,3494,35.260,13.194,56.297,368.763,0.106,1.022,709.551,2.264,75.043,24.957,m30_15,swing15m
ribbon_ema100,P1,3.000,3.000,3093,34.562,13.838,57.161,351.954,0.114,1.025,466.323,2.004,100.000,0.000,m30_15,swing15m
ribbon_ema55_ema100,P1,3.000,3.000,3092,34.541,13.842,57.212,347.885,0.113,1.025,470.392,2.004,100.000,0.000,m30_15,swing15m
ribbon_only,P2,3.000,3.000,1690,33.432,14.083,59.112,339.799,0.201,1.046,532.777,1.095,0.000,100.000,m30_15,swing15m
ribbon_ema55,both,4.000,3.000,3445,33.033,8.940,58.810,273.538,0.079,1.017,766.989,2.232,73.759,26.241,m30_15,swing15m
ribbon_ema100,both,3.000,3.000,3604,33.740,15.039,58.518,250.393,0.069,1.016,710.042,2.335,71.004,28.996,m30_15,swing15m
ribbon_only,both,4.000,3.000,3413,33.607,8.263,57.808,243.684,0.071,1.015,684.774,2.212,75.037,24.963,m30_15,swing15m
ribbon_ema55_ema100,both,3.000,3.000,3604,33.713,15.039,58.574,243.441,0.068,1.015,716.338,2.335,70.921,29.079,m30_15,swing15m
ribbon_ema55_ema100,P2,2.000,2.000,1849,36.236,28.231,58.734,174.639,0.094,1.027,575.859,1.199,0.000,100.000,m30_15,swing15m
ribbon_ema55,P2,2.000,2.000,1807,35.584,26.951,59.048,169.173,0.094,1.025,567.299,1.171,0.000,100.000,m30_15,swing15m
ribbon_ema100,P2,2.000,2.000,1847,36.221,28.208,58.744,168.166,0.091,1.026,581.164,1.197,0.000,100.000,m30_15,swing15m
ribbon_ema100,both,4.000,3.000,3507,31.594,9.780,60.479,133.960,0.038,1.009,751.414,2.272,70.858,29.142,m30_15,swing15m
ribbon_ema55_ema100,both,4.000,3.000,3508,31.585,9.778,60.519,129.982,0.037,1.008,754.737,2.273,70.781,29.219,m30_15,swing15m
ribbon_only,P1,1.500,3.000,3421,42.531,30.985,48.699,127.972,0.037,1.008,571.718,2.217,100.000,0.000,m30_15,swing15m
ribbon_ema100,P2,2.000,3.000,1830,36.995,26.011,56.393,73.940,0.040,1.011,563.532,1.186,0.000,100.000,m30_15,swing15m
ribbon_ema55_ema100,P2,2.000,3.000,1831,36.974,25.997,56.417,72.113,0.039,1.010,565.360,1.187,0.000,100.000,m30_15,swing15m
ribbon_ema55,P2,2.000,3.000,1761,36.286,24.134,56.672,69.061,0.039,1.009,653.404,1.142,0.000,100.000,m30_15,swing15m
ribbon_only,P1,2.000,3.000,3252,38.930,22.632,52.091,67.544,0.021,1.004,533.477,2.107,100.000,0.000,m30_15,swing15m
ribbon_only,P1,2.000,2.000,3482,37.622,24.986,55.744,56.998,0.016,1.004,520.113,2.256,100.000,0.000,m30_15,swing15m
ribbon_only,P2,2.000,2.000,1788,35.123,26.007,59.676,26.762,0.015,1.004,615.303,1.159,0.000,100.000,m30_15,swing15m
ribbon_ema55_ema100,P1,2.000,2.000,3425,37.314,25.956,56.467,-0.201,-0.000,1.000,616.196,2.219,100.000,0.000,m30_15,swing15m
ribbon_ema100,P1,2.000,2.000,3426,37.303,25.949,56.480,-2.376,-0.001,1.000,618.372,2.220,100.000,0.000,m30_15,swing15m
ribbon_ema55,P1,2.000,2.000,3454,37.522,25.159,56.167,-4.342,-0.001,1.000,561.741,2.238,100.000,0.000,m30_15,swing15m
ribbon_ema55,P1,2.000,3.000,3252,38.684,22.878,52.921,-19.973,-0.006,0.999,569.975,2.107,100.000,0.000,m30_15,swing15m
ribbon_only,P2,2.000,3.000,1737,36.097,23.316,56.822,-36.795,-0.021,0.995,728.108,1.126,0.000,100.000,m30_15,swing15m
ribbon_ema55,P1,1.500,3.000,3417,42.406,31.197,49.312,-91.868,-0.027,0.994,583.459,2.214,100.000,0.000,m30_15,swing15m
ribbon_ema100,P1,2.000,3.000,3237,37.998,23.757,53.692,-141.830,-0.044,0.990,665.033,2.098,100.000,0.000,m30_15,swing15m
ribbon_ema55_ema100,P1,2.000,3.000,3236,37.979,23.764,53.739,-144.947,-0.045,0.990,668.149,2.097,100.000,0.000,m30_15,swing15m
ribbon_ema100,P1,1.500,3.000,3393,41.939,31.801,49.867,-152.476,-0.045,0.989,669.950,2.199,100.000,0.000,m30_15,swing15m
ribbon_ema55_ema100,P1,1.500,3.000,3392,41.922,31.810,49.912,-155.116,-0.046,0.989,672.590,2.198,100.000,0.000,m30_15,swing15m
ribbon_ema55,P2,1.500,2.000,1842,40.065,34.365,54.940,-223.206,-0.121,0.965,571.310,1.194,0.000,100.000,m30_15,swing15m
ribbon_ema100,P2,1.500,3.000,1878,41.054,33.706,53.195,-233.164,-0.124,0.966,656.739,1.217,0.000,100.000,m30_15,swing15m
ribbon_ema55_ema100,P2,1.500,2.000,1887,40.753,35.347,54.743,-233.461,-0.124,0.962,588.506,1.223,0.000,100.000,m30_15,swing15m
ribbon_ema55_ema100,P2,1.500,3.000,1879,41.032,33.688,53.220,-234.991,-0.125,0.966,658.567,1.218,0.000,100.000,m30_15,swing15m
ribbon_only,P1,1.500,2.000,3632,41.244,32.517,52.450,-237.849,-0.065,0.984,772.993,2.353,100.000,0.000,m30_15,swing15m
ribbon_ema100,P2,1.500,2.000,1885,40.743,35.332,54.748,-238.034,-0.126,0.961,593.078,1.222,0.000,100.000,m30_15,swing15m
ribbon_ema55,P2,1.500,3.000,1802,40.455,32.686,53.163,-256.138,-0.142,0.964,673.747,1.168,0.000,100.000,m30_15,swing15m
ribbon_ema55,P2,1.000,2.000,1903,48.607,45.980,47.609,-385.639,-0.203,0.935,540.542,1.234,0.000,100.000,m30_15,swing15m
ribbon_only,P2,1.500,2.000,1823,39.495,33.352,55.677,-402.328,-0.221,0.939,660.700,1.182,0.000,100.000,m30_15,swing15m
ribbon_ema100,both,2.000,2.000,4027,36.553,26.620,57.437,-406.680,-0.101,0.974,909.824,2.609,71.617,28.383,m30_15,swing15m
ribbon_only,P2,1.500,3.000,1779,39.966,31.759,53.569,-410.835,-0.231,0.943,761.941,1.153,0.000,100.000,m30_15,swing15m
ribbon_ema55_ema100,P2,1.000,2.000,1943,48.893,46.423,47.607,-414.798,-0.213,0.926,562.029,1.259,0.000,100.000,m30_15,swing15m
ribbon_only,both,2.000,2.000,3975,36.654,25.283,56.906,-416.313,-0.105,0.975,803.770,2.576,75.346,24.654,m30_15,swing15m
ribbon_ema100,P2,1.000,2.000,1941,48.892,46.419,47.604,-417.470,-0.215,0.925,564.702,1.258,0.000,100.000,m30_15,swing15m
