ma_combo,pattern,rr,sl_buf,trades,win_rate,tp_rate,sl_rate,net_pts,avg_trade_pts,profit_factor,max_dd_pts,trades_per_day,p1_share,p2_share,mode
ribbon_only,P2,3.000,2.000,697,28.264,25.825,71.306,226.080,0.324,1.063,243.146,6.902,0.000,100.000,m1
ribbon_ema55,P2,3.000,2.000,707,28.430,25.884,71.004,225.825,0.319,1.062,245.485,7.001,0.000,100.000,m1
ribbon_ema55,P2,5.000,2.000,643,21.617,15.086,77.449,197.256,0.307,1.056,321.652,6.368,0.000,100.000,m1
ribbon_ema55,P2,4.000,2.000,677,23.486,19.202,75.628,174.863,0.258,1.048,250.408,6.704,0.000,100.000,m1
ribbon_only,P2,5.000,2.000,636,21.069,14.937,77.830,174.485,0.274,1.050,394.238,6.298,0.000,100.000,m1
ribbon_only,P2,4.000,2.000,668,23.054,19.162,75.898,153.951,0.230,1.043,306.358,6.615,0.000,100.000,m1
ribbon_only,P2,2.000,3.000,705,35.603,34.468,63.972,135.080,0.192,1.036,242.622,6.982,0.000,100.000,m1
ribbon_ema55,P2,2.000,3.000,714,35.574,34.454,63.866,126.913,0.178,1.034,256.396,7.071,0.000,100.000,m1
ribbon_ema55,P2,5.000,3.000,599,23.372,12.855,75.793,120.170,0.201,1.033,383.334,5.932,0.000,100.000,m1
ribbon_only,P2,2.000,2.000,774,35.659,35.142,63.824,111.691,0.144,1.031,205.743,7.665,0.000,100.000,m1
ribbon_ema55,P2,2.000,2.000,785,35.796,35.287,63.694,108.748,0.139,1.030,214.290,7.774,0.000,100.000,m1
ribbon_only,P2,3.000,3.000,651,27.650,23.963,71.889,93.195,0.143,1.024,377.788,6.447,0.000,100.000,m1
ribbon_ema55,P2,3.000,3.000,662,27.795,23.867,71.752,79.254,0.120,1.020,310.275,6.556,0.000,100.000,m1
ribbon_only,P2,1.500,3.000,752,42.287,41.888,57.447,67.950,0.090,1.019,278.897,7.447,0.000,100.000,m1
ribbon_ema55,both,5.000,2.000,1448,20.304,15.124,78.729,46.147,0.032,1.006,547.348,14.321,73.757,26.243,m1
ribbon_only,P2,5.000,3.000,594,22.559,12.458,76.431,42.425,0.071,1.012,455.041,5.882,0.000,100.000,m1
ribbon_ema55,P2,1.500,3.000,764,42.147,41.754,57.592,29.620,0.039,1.008,283.200,7.566,0.000,100.000,m1
ribbon_ema55_ema100,P2,3.000,2.000,714,27.591,25.350,71.849,23.848,0.033,1.006,304.158,7.071,0.000,100.000,m1
ribbon_ema100,P2,3.000,2.000,714,27.591,25.350,71.849,23.848,0.033,1.006,304.158,7.071,0.000,100.000,m1
ribbon_ema55,both,3.000,2.000,1730,26.821,24.566,72.543,7.620,0.004,1.001,698.150,17.111,75.029,24.971,m1
ribbon_ema55,P2,1.500,2.000,822,41.971,41.849,57.664,-23.233,-0.028,0.993,270.683,8.140,0.000,100.000,m1
ribbon_ema55,both,4.000,3.000,1392,22.557,17.601,76.437,-24.511,-0.018,0.997,586.852,13.768,75.144,24.856,m1
ribbon_ema100,P2,2.000,3.000,715,34.965,33.986,64.476,-30.749,-0.043,0.992,268.610,7.081,0.000,100.000,m1
ribbon_ema55_ema100,P2,2.000,3.000,715,34.965,33.986,64.476,-30.749,-0.043,0.992,268.610,7.081,0.000,100.000,m1
ribbon_only,P2,1.500,2.000,811,41.677,41.554,57.953,-31.802,-0.039,0.991,259.030,8.031,0.000,100.000,m1
ribbon_ema100,P2,5.000,2.000,651,20.430,14.593,78.648,-56.001,-0.086,0.984,301.639,6.447,0.000,100.000,m1
ribbon_ema55_ema100,P2,5.000,2.000,651,20.430,14.593,78.648,-56.001,-0.086,0.984,301.639,6.447,0.000,100.000,m1
ribbon_ema55_ema100,both,3.000,2.000,1744,26.778,24.713,72.649,-67.153,-0.039,0.991,927.025,17.249,74.140,25.860,m1
ribbon_ema100,both,3.000,2.000,1744,26.778,24.713,72.649,-71.950,-0.041,0.991,927.025,17.249,74.140,25.860,m1
ribbon_only,P2,4.000,3.000,610,23.443,16.557,75.574,-71.996,-0.118,0.981,435.474,6.041,0.000,100.000,m1
ribbon_ema55_ema100,P2,4.000,2.000,683,22.401,18.594,76.720,-72.301,-0.106,0.981,248.554,6.764,0.000,100.000,m1
ribbon_ema100,P2,4.000,2.000,683,22.401,18.594,76.720,-72.301,-0.106,0.981,248.554,6.764,0.000,100.000,m1
ribbon_ema55,P2,4.000,3.000,618,23.948,16.667,75.243,-80.025,-0.129,0.979,377.097,6.120,0.000,100.000,m1
ribbon_only,both,5.000,2.000,1448,20.028,14.641,79.075,-85.189,-0.059,0.988,450.359,14.321,75.967,24.033,m1
ribbon_ema100,P2,2.000,2.000,781,34.827,34.315,64.661,-96.647,-0.124,0.973,286.414,7.734,0.000,100.000,m1
ribbon_ema55_ema100,P2,2.000,2.000,781,34.827,34.315,64.661,-96.647,-0.124,0.973,286.414,7.734,0.000,100.000,m1
ribbon_only,both,4.000,3.000,1378,22.279,17.054,76.778,-107.385,-0.078,0.986,653.624,13.629,76.851,23.149,m1
ribbon_ema55,both,4.000,2.000,1579,22.483,18.809,76.631,-114.209,-0.072,0.985,557.851,15.617,74.604,25.396,m1
ribbon_only,both,3.000,2.000,1752,26.598,24.315,72.831,-130.178,-0.074,0.984,834.890,17.328,76.998,23.002,m1
ribbon_ema100,P2,1.500,3.000,755,41.325,40.927,58.411,-133.765,-0.177,0.963,340.607,7.477,0.000,100.000,m1
ribbon_ema55_ema100,P2,1.500,3.000,755,41.325,40.927,58.411,-133.765,-0.177,0.963,340.607,7.477,0.000,100.000,m1
ribbon_ema55_ema100,P2,5.000,3.000,606,21.947,12.541,77.228,-147.259,-0.243,0.961,447.887,6.001,0.000,100.000,m1
ribbon_ema100,P2,5.000,3.000,606,21.947,12.541,77.228,-147.259,-0.243,0.961,447.887,6.001,0.000,100.000,m1
ribbon_only,both,4.000,2.000,1597,22.229,18.660,76.957,-166.189,-0.104,0.979,632.804,15.795,76.581,23.419,m1
ribbon_ema55_ema100,P2,1.500,2.000,814,41.032,40.909,58.600,-166.299,-0.204,0.952,296.593,8.061,0.000,100.000,m1
ribbon_ema100,P2,1.500,2.000,814,41.032,40.909,58.600,-166.299,-0.204,0.952,296.593,8.061,0.000,100.000,m1
ribbon_ema100,P2,3.000,3.000,665,26.767,23.158,72.782,-180.766,-0.272,0.954,325.872,6.585,0.000,100.000,m1
ribbon_ema55_ema100,P2,3.000,3.000,665,26.767,23.158,72.782,-180.766,-0.272,0.954,325.872,6.585,0.000,100.000,m1
