ma_combo,pattern,rr,sl_buf,trades,win_rate,tp_rate,sl_rate,net_pts,avg_trade_pts,profit_factor,max_dd_pts,trades_per_day,p1_share,p2_share,mode
ribbon_ema55,P1,5.000,3.000,6062,39.129,2.656,39.492,641.988,0.106,1.027,1408.979,3.926,100.000,0.000,m15
ribbon_only,P1,5.000,3.000,6092,39.675,2.331,38.936,448.148,0.074,1.019,1538.082,3.946,100.000,0.000,m15
ribbon_only,P2,3.000,3.000,4936,39.850,6.767,39.141,327.835,0.066,1.017,1604.088,3.197,0.000,100.000,m15
ribbon_only,P2,5.000,3.000,4876,39.356,2.338,39.971,298.026,0.061,1.016,1538.319,3.158,0.000,100.000,m15
ribbon_ema55,P1,5.000,2.000,6447,36.870,3.599,46.347,258.441,0.040,1.011,1593.546,4.176,100.000,0.000,m15
ribbon_ema55,P2,3.000,3.000,5061,39.281,7.587,40.545,245.486,0.049,1.013,1617.707,3.278,0.000,100.000,m15
ribbon_ema55,P2,5.000,3.000,4990,38.537,2.866,41.523,235.539,0.047,1.013,1572.449,3.232,0.000,100.000,m15
ribbon_only,P1,5.000,2.000,6483,37.575,3.316,45.442,183.147,0.028,1.008,1551.465,4.199,100.000,0.000,m15
ribbon_ema55,P2,4.000,3.000,5012,38.807,4.310,41.181,157.973,0.032,1.008,1519.161,3.246,0.000,100.000,m15
ribbon_only,P2,4.000,3.000,4898,39.526,3.655,39.731,136.947,0.028,1.007,1531.500,3.172,0.000,100.000,m15
ribbon_ema55,P1,4.000,3.000,6099,39.334,3.951,39.334,115.142,0.019,1.005,1352.923,3.950,100.000,0.000,m15
ribbon_ema55,P2,5.000,2.000,5244,35.698,4.024,48.894,80.885,0.015,1.004,1583.793,3.396,0.000,100.000,m15
ribbon_only,P1,4.000,3.000,6121,39.846,3.480,38.736,75.340,0.012,1.003,1492.119,3.965,100.000,0.000,m15
ribbon_ema55,P2,4.000,2.000,5276,35.993,6.160,48.427,38.083,0.007,1.002,1596.270,3.417,0.000,100.000,m15
ribbon_only,P2,4.000,2.000,5125,36.644,5.463,47.044,-0.586,-0.000,1.000,1582.633,3.319,0.000,100.000,m15
ribbon_only,P1,4.000,2.000,6535,38.072,5.295,44.805,-1.178,-0.000,1.000,1501.213,4.233,100.000,0.000,m15
ribbon_ema55_ema100,P1,5.000,3.000,6158,37.041,3.361,43.618,-11.944,-0.002,0.999,1273.572,3.989,100.000,0.000,m15
ribbon_ema100,P1,5.000,3.000,6163,37.092,3.375,43.648,-42.254,-0.007,0.998,1266.068,3.992,100.000,0.000,m15
