ma_combo,pattern,rr,sl_buf,trades,win_rate,tp_rate,sl_rate,net_pts,avg_trade_pts,profit_factor,max_dd_pts,trades_per_day,p1_share,p2_share,mode
ribbon_ema55,P2,5.000,2.000,390,33.846,9.231,58.718,589.876,1.513,1.185,358.450,3.847,0.000,100.000,m15
ribbon_ema55,P2,2.000,2.000,420,39.524,25.714,52.619,574.245,1.367,1.172,307.363,4.143,0.000,100.000,m15
ribbon_only,P2,2.000,2.000,417,39.329,24.940,52.998,569.274,1.365,1.166,307.363,4.113,0.000,100.000,m15
ribbon_only,P2,5.000,2.000,392,33.418,7.653,59.694,566.541,1.445,1.173,375.270,3.866,0.000,100.000,m15
ribbon_only,P2,5.000,3.000,383,34.465,6.266,58.747,555.954,1.452,1.165,426.460,3.778,0.000,100.000,m15
ribbon_only,P2,2.000,3.000,406,39.901,22.414,52.463,553.137,1.362,1.157,313.363,4.005,0.000,100.000,m15
ribbon_ema55,P2,2.000,3.000,410,39.512,22.927,52.683,529.029,1.290,1.153,313.363,4.044,0.000,100.000,m15
ribbon_ema55,P2,4.000,2.000,397,34.761,11.839,57.935,528.407,1.331,1.162,318.400,3.916,0.000,100.000,m15
ribbon_only,P2,4.000,2.000,395,34.177,10.886,58.481,506.471,1.282,1.151,324.522,3.896,0.000,100.000,m15
ribbon_ema55,P2,5.000,3.000,383,33.420,7.050,59.269,474.141,1.238,1.142,406.711,3.778,0.000,100.000,m15
ribbon_only,P2,3.000,3.000,391,36.829,13.811,55.754,472.687,1.209,1.136,313.363,3.857,0.000,100.000,m15
ribbon_ema55,P2,3.000,3.000,394,36.548,14.213,56.345,467.081,1.185,1.138,313.363,3.886,0.000,100.000,m15
ribbon_ema55,P2,3.000,2.000,405,36.296,15.309,56.296,438.204,1.082,1.132,307.363,3.995,0.000,100.000,m15
ribbon_ema55,both,2.000,2.000,689,37.300,25.980,54.427,408.221,0.592,1.081,382.953,6.791,60.668,39.332,m15
ribbon_only,P1,5.000,2.000,524,30.153,7.634,60.115,407.598,0.778,1.094,397.218,5.165,100.000,0.000,m15
ribbon_ema55_ema100,P2,5.000,2.000,379,31.398,8.707,61.214,394.242,1.040,1.126,529.549,3.738,0.000,100.000,m15
ribbon_ema100,P2,5.000,2.000,379,31.398,8.707,61.214,394.242,1.040,1.126,529.549,3.738,0.000,100.000,m15
ribbon_only,P2,4.000,3.000,386,34.715,8.549,58.031,388.353,1.006,1.114,411.301,3.807,0.000,100.000,m15
ribbon_only,P2,3.000,2.000,403,35.732,14.640,56.824,382.462,0.949,1.111,324.387,3.975,0.000,100.000,m15
ribbon_only,P2,1.500,3.000,423,42.317,31.206,49.882,374.480,0.885,1.104,305.667,4.172,0.000,100.000,m15
ribbon_ema100,P2,2.000,3.000,397,37.280,21.914,54.660,367.267,0.925,1.109,433.473,3.916,0.000,100.000,m15
