ma_combo,pattern,rr,sl_buf,trades,win_rate,tp_rate,sl_rate,net_pts,avg_trade_pts,profit_factor,max_dd_pts,trades_per_day,p1_share,p2_share,mode,sl_method
ribbon_ema55,P2,5.000,2.000,501,28.743,8.782,68.463,448.330,0.895,1.110,313.900,4.961,0.000,100.000,m1,swing3m
ribbon_ema55,P2,5.000,3.000,476,30.462,7.773,66.597,441.100,0.927,1.108,359.450,4.714,0.000,100.000,m1,swing3m
ribbon_only,P2,4.000,3.000,488,30.328,12.910,66.598,435.460,0.892,1.106,365.200,4.833,0.000,100.000,m1,swing3m
ribbon_ema55,P2,4.000,3.000,489,31.288,12.679,65.849,419.650,0.858,1.101,352.870,4.843,0.000,100.000,m1,swing3m
ribbon_only,P2,5.000,2.000,499,27.655,8.417,69.339,400.660,0.803,1.100,298.720,4.942,0.000,100.000,m1,swing3m
ribbon_only,P2,5.000,3.000,474,29.536,7.384,67.300,398.970,0.842,1.099,380.620,4.694,0.000,100.000,m1,swing3m
ribbon_ema55,P2,4.000,2.000,513,29.630,13.450,67.641,383.290,0.747,1.093,318.730,5.080,0.000,100.000,m1,swing3m
ribbon_only,P2,4.000,2.000,513,28.460,13.255,68.616,366.170,0.714,1.089,320.790,5.080,0.000,100.000,m1,swing3m
ribbon_only,both,4.000,3.000,811,29.593,12.207,64.242,321.620,0.397,1.047,481.280,8.021,78.422,21.578,m1,swing3m
ribbon_ema100,P2,5.000,3.000,479,29.019,8.977,67.641,303.450,0.634,1.072,541.760,4.743,0.000,100.000,m1,swing3m
ribbon_ema55_ema100,P2,5.000,3.000,479,29.019,8.977,67.641,303.450,0.634,1.072,541.760,4.743,0.000,100.000,m1,swing3m
ribbon_ema55,both,5.000,3.000,756,29.233,7.540,65.079,296.550,0.392,1.046,536.710,7.477,75.926,24.074,m1,swing3m
ribbon_only,both,5.000,3.000,768,28.516,7.682,64.974,281.540,0.367,1.043,526.730,7.596,77.865,22.135,m1,swing3m
ribbon_ema55_ema100,P2,5.000,2.000,498,27.510,9.839,69.277,262.380,0.527,1.063,423.220,4.932,0.000,100.000,m1,swing3m
ribbon_ema100,P2,5.000,2.000,498,27.510,9.839,69.277,262.380,0.527,1.063,423.220,4.932,0.000,100.000,m1,swing3m
ribbon_ema100,P2,4.000,3.000,492,30.081,13.415,66.667,214.160,0.435,1.050,477.640,4.872,0.000,100.000,m1,swing3m
ribbon_ema55_ema100,P2,4.000,3.000,492,30.081,13.415,66.667,214.160,0.435,1.050,477.640,4.872,0.000,100.000,m1,swing3m
ribbon_ema55,both,4.000,3.000,803,29.514,11.831,64.757,213.070,0.265,1.031,504.490,7.942,76.837,23.163,m1,swing3m
ribbon_only,both,4.000,2.000,847,28.689,12.279,65.880,191.050,0.226,1.028,577.660,8.377,78.276,21.724,m1,swing3m
ribbon_only,both,5.000,2.000,816,27.941,8.824,66.176,187.450,0.230,1.029,447.080,8.071,77.206,22.794,m1,swing3m
ribbon_only,P1,4.000,3.000,792,29.419,12.121,63.763,179.900,0.227,1.028,627.410,7.833,100.000,0.000,m1,swing3m
ribbon_ema100,P2,4.000,2.000,510,28.431,14.118,68.431,123.480,0.242,1.029,495.240,5.050,0.000,100.000,m1,swing3m
ribbon_ema55_ema100,P2,4.000,2.000,510,28.431,14.118,68.431,123.480,0.242,1.029,495.240,5.050,0.000,100.000,m1,swing3m
ribbon_ema55,P2,1.500,2.000,619,42.326,39.095,56.543,106.580,0.172,1.024,311.845,6.130,0.000,100.000,m1,swing3m
ribbon_only,P2,1.500,2.000,613,41.762,38.499,57.096,94.930,0.155,1.022,334.590,6.070,0.000,100.000,m1,swing3m
ribbon_ema55,P2,1.000,3.000,650,52.154,50.308,46.615,91.270,0.140,1.022,295.330,6.437,0.000,100.000,m1,swing3m
ribbon_only,P2,1.000,3.000,641,51.794,50.078,46.958,90.370,0.141,1.022,336.000,6.348,0.000,100.000,m1,swing3m
ribbon_only,P1,4.000,2.000,836,28.230,12.321,65.909,78.130,0.093,1.012,630.870,8.268,100.000,0.000,m1,swing3m
ribbon_ema55,both,4.000,2.000,866,28.176,12.356,67.321,66.640,0.077,1.009,522.040,8.565,76.559,23.441,m1,swing3m
ribbon_ema55,P2,1.500,3.000,586,42.150,37.884,56.143,43.900,0.075,1.010,305.230,5.803,0.000,100.000,m1,swing3m
ribbon_only,P2,1.500,3.000,580,41.724,37.414,56.724,32.440,0.056,1.007,316.885,5.744,0.000,100.000,m1,swing3m
ribbon_ema55,both,5.000,2.000,835,27.186,8.862,68.144,18.840,0.023,1.003,482.080,8.259,76.168,23.832,m1,swing3m
ribbon_ema55,P2,2.000,2.000,577,36.395,29.636,61.525,10.350,0.018,1.002,286.550,5.714,0.000,100.000,m1,swing3m
ribbon_only,P2,2.000,2.000,574,36.063,29.268,62.021,8.580,0.015,1.002,273.520,5.684,0.000,100.000,m1,swing3m
ribbon_ema55,P1,4.000,3.000,794,29.093,11.965,64.987,-19.310,-0.024,0.997,670.490,7.853,100.000,0.000,m1,swing3m
ribbon_only,P2,2.000,3.000,544,36.397,28.125,61.397,-19.940,-0.037,0.995,271.520,5.387,0.000,100.000,m1,swing3m
ribbon_ema55,P2,1.000,2.000,680,51.471,50.294,47.647,-25.930,-0.038,0.994,330.570,6.734,0.000,100.000,m1,swing3m
ribbon_only,P2,1.000,2.000,671,50.969,49.925,48.137,-30.780,-0.046,0.992,372.290,6.645,0.000,100.000,m1,swing3m
ribbon_ema55,P2,2.000,3.000,548,36.679,28.285,60.949,-35.780,-0.065,0.992,266.720,5.427,0.000,100.000,m1,swing3m
ribbon_ema55,P1,4.000,2.000,855,27.719,12.281,67.719,-59.290,-0.069,0.991,670.370,8.456,100.000,0.000,m1,swing3m
ribbon_only,P1,3.000,2.000,892,31.502,18.049,63.004,-81.520,-0.091,0.988,642.930,8.822,100.000,0.000,m1,swing3m
ribbon_ema100,P2,1.000,3.000,646,50.929,49.381,47.833,-104.250,-0.161,0.976,372.910,6.397,0.000,100.000,m1,swing3m
ribbon_ema55_ema100,P2,1.000,3.000,646,50.929,49.381,47.833,-104.250,-0.161,0.976,372.910,6.397,0.000,100.000,m1,swing3m
ribbon_ema55,P1,5.000,3.000,751,28.096,8.123,65.779,-109.510,-0.146,0.982,537.820,7.428,100.000,0.000,m1,swing3m
ribbon_ema55,P1,3.000,3.000,842,31.591,17.102,62.945,-115.730,-0.137,0.983,674.970,8.328,100.000,0.000,m1,swing3m
ribbon_only,P2,3.000,3.000,502,31.275,16.733,65.737,-116.760,-0.233,0.973,450.170,4.971,0.000,100.000,m1,swing3m
ribbon_only,both,3.000,2.000,898,31.626,17.706,63.252,-127.770,-0.142,0.982,738.120,8.882,79.733,20.267,m1,swing3m
ribbon_ema55_ema100,P2,1.500,2.000,613,41.272,38.173,57.423,-147.520,-0.241,0.967,468.150,6.070,0.000,100.000,m1,swing3m
ribbon_ema100,P2,1.500,2.000,613,41.272,38.173,57.423,-147.520,-0.241,0.967,468.150,6.070,0.000,100.000,m1,swing3m
ribbon_only,P1,5.000,2.000,806,26.799,8.809,67.122,-151.930,-0.188,0.976,533.570,7.972,100.000,0.000,m1,swing3m
ribbon_only,P1,3.000,3.000,838,31.742,17.184,61.933,-157.250,-0.188,0.977,652.320,8.288,100.000,0.000,m1,swing3m
ribbon_only,P2,3.000,2.000,527,29.602,17.647,67.742,-162.390,-0.308,0.961,445.540,5.219,0.000,100.000,m1,swing3m
ribbon_ema55,P2,3.000,3.000,506,31.818,16.798,65.415,-168.650,-0.333,0.961,432.690,5.011,0.000,100.000,m1,swing3m
ribbon_ema55,P1,5.000,2.000,827,26.481,9.069,69.045,-171.390,-0.207,0.973,574.880,8.179,100.000,0.000,m1,swing3m
ribbon_only,P1,5.000,3.000,751,27.696,8.123,64.980,-181.200,-0.241,0.971,543.370,7.428,100.000,0.000,m1,swing3m
ribbon_ema100,P2,2.000,2.000,577,35.529,29.463,62.218,-199.660,-0.346,0.955,435.960,5.714,0.000,100.000,m1,swing3m
ribbon_ema55_ema100,P2,2.000,2.000,577,35.529,29.463,62.218,-199.660,-0.346,0.955,435.960,5.714,0.000,100.000,m1,swing3m
ribbon_ema55_ema100,P2,1.000,2.000,671,50.522,49.329,48.584,-223.240,-0.333,0.946,395.720,6.645,0.000,100.000,m1,swing3m
ribbon_ema100,P2,1.000,2.000,671,50.522,49.329,48.584,-223.240,-0.333,0.946,395.720,6.645,0.000,100.000,m1,swing3m
ribbon_ema55,both,3.000,3.000,835,31.497,16.527,63.114,-232.870,-0.279,0.967,593.980,8.259,78.683,21.317,m1,swing3m
ribbon_ema55_ema100,P2,1.500,3.000,586,40.785,36.689,57.338,-234.435,-0.400,0.949,531.625,5.803,0.000,100.000,m1,swing3m
ribbon_ema100,P2,1.500,3.000,586,40.785,36.689,57.338,-234.435,-0.400,0.949,531.625,5.803,0.000,100.000,m1,swing3m
ribbon_ema55,P2,3.000,2.000,530,30.000,17.358,67.547,-249.030,-0.470,0.942,439.130,5.249,0.000,100.000,m1,swing3m
ribbon_only,both,3.000,3.000,836,31.818,16.148,62.321,-260.840,-0.312,0.963,643.090,8.268,79.785,20.215,m1,swing3m
ribbon_ema55,both,3.000,2.000,915,30.601,17.377,64.809,-270.500,-0.296,0.963,757.950,9.050,77.923,22.077,m1,swing3m
ribbon_ema55_ema100,P2,2.000,3.000,549,35.337,27.687,61.931,-278.570,-0.507,0.939,520.630,5.437,0.000,100.000,m1,swing3m
ribbon_ema100,P2,2.000,3.000,549,35.337,27.687,61.931,-278.570,-0.507,0.939,520.630,5.437,0.000,100.000,m1,swing3m
ribbon_ema55,P1,3.000,2.000,906,30.574,17.660,64.790,-313.880,-0.346,0.955,766.040,8.961,100.000,0.000,m1,swing3m
