ma_combo,pattern,rr,sl_buf,trades,win_rate,tp_rate,sl_rate,net_pts,avg_trade_pts,profit_factor,max_dd_pts,trades_per_day,p1_share,p2_share,mode,sl_method
ribbon_ema55,P2,5.000,3.000,233,34.764,10.730,62.661,1124.680,4.827,1.635,227.260,2.308,0.000,100.000,m1,swing3m
ribbon_ema55,P2,5.000,2.000,240,32.500,12.500,65.417,1085.530,4.523,1.634,217.270,2.377,0.000,100.000,m1,swing3m
ribbon_ema100,P2,5.000,3.000,232,32.759,12.069,64.224,1073.800,4.628,1.589,237.520,2.298,0.000,100.000,m1,swing3m
ribbon_ema55_ema100,P2,5.000,3.000,232,32.759,12.069,64.224,1073.800,4.628,1.589,237.520,2.298,0.000,100.000,m1,swing3m
ribbon_ema55,P2,4.000,2.000,247,33.603,18.623,64.372,1035.550,4.193,1.573,249.360,2.447,0.000,100.000,m1,swing3m
ribbon_only,P2,5.000,3.000,226,32.743,9.292,64.602,934.700,4.136,1.531,217.760,2.239,0.000,100.000,m1,swing3m
ribbon_ema55_ema100,P2,5.000,2.000,238,30.252,13.025,67.227,928.350,3.901,1.525,232.310,2.358,0.000,100.000,m1,swing3m
ribbon_ema100,P2,5.000,2.000,238,30.252,13.025,67.227,928.350,3.901,1.525,232.310,2.358,0.000,100.000,m1,swing3m
ribbon_only,P2,5.000,2.000,233,30.472,11.159,67.382,915.550,3.929,1.538,208.770,2.308,0.000,100.000,m1,swing3m
ribbon_only,P2,4.000,2.000,240,31.667,17.917,66.250,914.810,3.812,1.510,240.860,2.377,0.000,100.000,m1,swing3m
ribbon_ema55,P2,4.000,3.000,238,34.874,16.387,62.605,899.230,3.778,1.479,261.350,2.358,0.000,100.000,m1,swing3m
ribbon_ema100,P2,4.000,2.000,245,31.429,18.367,66.122,826.730,3.374,1.443,230.820,2.427,0.000,100.000,m1,swing3m
ribbon_ema55_ema100,P2,4.000,2.000,245,31.429,18.367,66.122,826.730,3.374,1.443,230.820,2.427,0.000,100.000,m1,swing3m
ribbon_only,P2,4.000,3.000,231,33.333,16.017,64.069,821.390,3.556,1.443,251.850,2.288,0.000,100.000,m1,swing3m
ribbon_ema55_ema100,P2,4.000,3.000,237,32.911,17.300,64.135,798.580,3.370,1.414,233.030,2.348,0.000,100.000,m1,swing3m
ribbon_ema100,P2,4.000,3.000,237,32.911,17.300,64.135,798.580,3.370,1.414,233.030,2.348,0.000,100.000,m1,swing3m
ribbon_only,both,5.000,3.000,463,26.782,9.071,66.739,765.980,1.654,1.207,579.260,4.580,78.402,21.598,m1,swing3m
ribbon_ema55,P2,2.000,3.000,255,41.569,36.471,55.686,750.270,2.942,1.410,126.360,2.526,0.000,100.000,m1,swing3m
ribbon_ema55,P2,2.000,2.000,264,40.909,36.742,56.818,742.100,2.811,1.427,120.360,2.615,0.000,100.000,m1,swing3m
ribbon_ema55,P2,3.000,3.000,243,37.037,22.222,60.494,726.340,2.989,1.390,272.010,2.407,0.000,100.000,m1,swing3m
ribbon_ema55,P2,3.000,2.000,253,35.178,23.715,62.846,719.910,2.845,1.394,259.020,2.506,0.000,100.000,m1,swing3m
ribbon_only,P2,2.000,2.000,256,40.234,35.938,57.422,710.150,2.774,1.418,120.360,2.536,0.000,100.000,m1,swing3m
ribbon_only,P2,1.500,2.000,266,46.617,45.489,52.256,700.140,2.632,1.434,120.360,2.635,0.000,100.000,m1,swing3m
ribbon_only,P2,2.000,3.000,247,40.486,35.628,56.680,697.370,2.823,1.388,126.360,2.447,0.000,100.000,m1,swing3m
ribbon_only,P2,1.500,3.000,259,46.332,45.174,51.737,694.225,2.680,1.404,126.360,2.566,0.000,100.000,m1,swing3m
ribbon_ema55,P2,1.500,2.000,273,46.886,45.788,52.015,673.130,2.466,1.408,132.400,2.704,0.000,100.000,m1,swing3m
