entry_time,exit_time,direction,pattern,entry,sl,tp,exit_price,pnl_points,bars_held,outcome
2022-03-07 06:45:00,2022-03-07 07:45:00,1,P1,1989.63,1984.1997001778927,2016.781499110537,1984.1997001778927,-5.730299822107372,4,SL
2022-03-07 09:00:00,2022-03-07 09:30:00,-1,P1,1981.87,1987.9550125758333,1951.444937120833,1987.9550125758333,-6.385012575833389,2,SL
2022-03-07 09:45:00,2022-03-07 13:45:00,1,P1,1992.92,1982.9296262778612,2042.8718686106945,1990.16,-3.0599999999999907,16,EOD
2022-03-07 14:30:00,2022-03-07 18:30:00,-1,P1,1981.97,1994.815560316168,1917.7421984191596,1979.56,2.110000000000082,16,EOD
2022-03-07 19:30:00,2022-03-07 19:45:00,-1,P1,1982.04,1985.1521218355253,1966.479390822373,1985.1521218355253,-3.4121218355253857,1,SL
2022-03-07 20:15:00,2022-03-08 01:15:00,1,P1,1992.09,1980.6743890574944,2049.1680547125275,1998.78,6.390000000000055,16,EOD
2022-03-08 02:00:00,2022-03-08 02:30:00,1,P1,1999.84,1992.0631756546434,2038.7241217267826,1992.0631756546434,-8.076824345356545,2,SL
2022-03-08 03:15:00,2022-03-08 07:15:00,-1,P1,1981.5,1995.6149497082558,1910.9252514587208,1990.26,-9.059999999999992,16,EOD
2022-03-08 08:00:00,2022-03-08 12:00:00,1,P1,1995.21,1987.1743878236489,2035.3880608817558,2003.03,7.5199999999999365,16,EOD
2022-03-08 12:30:00,2022-03-08 16:30:00,1,P1,2005.42,2002.0136689188419,2022.4516554057911,2022.4516554057911,16.73165540579107,16,TP
2022-03-08 16:45:00,2022-03-08 20:45:00,1,P1,2039.57,2011.9347207343292,2177.7463963283535,2044.38,4.510000000000173,16,EOD
2022-03-08 22:00:00,2022-03-09 02:30:00,1,P1,2040.36,2035.0427970365354,2066.9460148173225,2035.0427970365354,-5.617202963464524,14,SL
2022-03-09 03:00:00,2022-03-09 03:15:00,1,P1,2040.47,2040.0819464985702,2042.410267507149,2040.0819464985702,-0.6880535014297948,1,SL
2022-03-09 04:00:00,2022-03-09 08:00:00,1,P1,2044.75,2039.5632548996448,2070.6837255017763,2049.19,4.140000000000055,16,EOD
2022-03-09 10:45:00,2022-03-09 14:45:00,-1,P1,2042.17,2050.236264548269,2001.8386772586555,2009.27,32.600000000000094,16,EOD
2022-03-09 15:00:00,2022-03-09 19:00:00,-1,P1,2007.87,2023.8772553055694,1927.8337234721523,1995.81,11.759999999999945,16,EOD
2022-03-09 19:15:00,2022-03-09 23:15:00,-1,P1,1993.81,2004.3999764657283,1940.8601176713582,1994.6,-1.0899999999999637,16,EOD
2022-03-10 01:30:00,2022-03-10 05:30:00,-1,P1,1989.69,1994.8169376346164,1964.0553118269186,1978.09,11.300000000000136,16,EOD
