entry_time,exit_time,direction,pattern,entry,sl,tp,exit_price,pnl_points,bars_held,outcome
2026-02-17 05:13:00,2026-02-17 06:27:00,-1,P2,4959.47,4959.47,4904.910000000003,4959.47,6.383599999999842,74,BE_after_TP1
2026-02-17 08:15:00,2026-02-17 08:19:00,-1,P2,4887.47,4897.52,4847.2699999999995,4897.52,-10.350000000000183,4,SL
2026-02-17 13:34:00,2026-02-17 14:00:00,-1,P2,4924.64,4932.54,4893.040000000002,4932.54,-8.199999999999637,26,SL
2026-02-17 14:43:00,2026-02-17 15:56:00,-1,P2,4937.16,4937.16,4897.079999999998,4897.079999999998,16.63380000000061,73,TP2
2026-02-17 16:33:00,2026-02-17 18:02:00,-1,P2,4887.7,4887.7,4797.7,4887.7,10.724999999999998,89,BE_after_TP1
2026-02-18 05:55:00,2026-02-18 09:55:00,1,P2,4921.5,4921.5,4952.060000000001,4930.97,6.284600000000046,240,TP1+EOD
2026-02-18 14:42:00,2026-02-18 16:52:00,1,P2,4930.26,4930.26,4991.9400000000005,4991.9400000000005,25.7598,130,TP2
2026-02-18 22:04:00,2026-02-19 01:00:00,1,P2,4984.04,4975.49,5018.240000000001,4975.49,-8.850000000000183,114,SL
2026-02-19 15:33:00,2026-02-19 16:34:00,1,P2,4989.24,4969.17,5069.519999999999,4969.17,-20.36999999999971,61,SL
2026-02-20 05:18:00,2026-02-20 05:41:00,1,P2,4998.13,4986.89,5043.089999999999,4986.89,-11.539999999999782,23,SL
2026-02-20 13:33:00,2026-02-20 13:41:00,1,P2,5032.74,5022.95,5071.9,5022.95,-10.089999999999964,8,SL
2026-02-20 14:36:00,2026-02-20 17:03:00,1,P2,5024.11,5024.11,5103.869999999998,5024.11,9.470599999999738,147,BE_after_TP1
2026-02-23 14:03:00,2026-02-23 14:28:00,1,P2,5153.23,5145.65,5183.549999999999,5145.65,-7.879999999999927,25,SL
2026-02-23 16:13:00,2026-02-23 16:38:00,1,P2,5153.33,5153.33,5183.249999999998,5183.249999999998,12.34119999999939,25,TP2
2026-02-23 22:01:00,2026-02-24 01:15:00,1,P2,5218.96,5218.96,5249.520000000001,5249.520000000001,12.611600000000362,132,TP2
2026-02-24 02:18:00,2026-02-24 02:55:00,1,P2,5234.51,5221.79,5285.390000000001,5221.79,-13.020000000000255,37,SL
2026-02-24 08:21:00,2026-02-24 09:17:00,-1,P2,5175.86,5175.86,5127.86,5175.86,5.579999999999745,56,BE_after_TP1
2026-02-24 13:22:00,2026-02-24 15:39:00,-1,P2,5172.31,5172.31,5140.750000000003,5140.750000000003,13.034099999998762,137,TP2
2026-02-25 02:01:00,2026-02-25 02:20:00,-1,P2,5145.16,5145.16,5105.279999999999,5145.16,4.5853000000001884,19,BE_after_TP1
2026-02-25 05:00:00,2026-02-25 08:07:00,1,P2,5188.19,5188.19,5286.589999999997,5188.19,11.75399999999954,187,BE_after_TP1
2026-02-25 15:01:00,2026-02-25 15:41:00,1,P2,5183.64,5183.64,5214.920000000003,5183.64,3.531800000000112,40,BE_after_TP1
2026-02-26 05:51:00,2026-02-26 07:03:00,1,P2,5190.2,5190.2,5226.080000000001,5190.2,4.095300000000315,72,BE_after_TP1
2026-02-26 13:46:00,2026-02-26 14:17:00,-1,P2,5171.11,5171.11,5141.709999999998,5171.11,3.3015000000003054,31,BE_after_TP1
2026-02-26 15:30:00,2026-02-26 16:25:00,-1,P2,5170.27,5170.27,5124.070000000003,5170.27,5.359499999999389,55,BE_after_TP1
2026-02-26 16:30:00,2026-02-26 16:46:00,-1,P2,5143.74,5175.44,5016.9400000000005,5175.44,-31.99999999999982,16,SL
2026-02-26 22:38:00,2026-02-26 23:26:00,1,P2,5199.21,5187.88,5244.53,5187.88,-11.629999999999928,48,SL
2026-02-27 08:15:00,2026-02-27 08:51:00,1,P2,5198.54,5190.04,5232.54,5190.04,-8.8,36,SL
2026-02-27 13:05:00,2026-02-27 13:48:00,-1,P2,5175.28,5181.13,5151.879999999998,5181.13,-6.150000000000364,43,SL
2026-03-02 05:03:00,2026-03-02 06:36:00,1,P2,5353.91,5353.91,5403.709999999999,5353.91,5.800500000000102,93,BE_after_TP1
2026-03-02 08:48:00,2026-03-02 12:02:00,1,P2,5384.9,5384.9,5439.699999999999,5384.9,6.4130000000001015,194,BE_after_TP1
2026-03-02 13:18:00,2026-03-02 13:45:00,1,P2,5395.7,5379.41,5460.86,5379.41,-16.589999999999964,27,SL
2026-03-02 14:05:00,2026-03-02 15:12:00,1,P2,5390.03,5390.03,5446.19,5390.03,6.5796000000003,67,BE_after_TP1
2026-03-02 22:58:00,2026-03-03 01:00:00,-1,P2,5331.57,5331.57,5275.73,5331.57,6.540399999999954,60,BE_after_TP1
2026-03-03 15:00:00,2026-03-03 16:42:00,-1,P2,5199.85,5199.85,5080.85,5080.85,49.97749999999988,102,TP2
2026-03-03 22:33:00,2026-03-04 01:08:00,-1,P2,5114.99,5114.99,5041.4299999999985,5114.99,8.71110000000035,93,BE_after_TP1
2026-03-04 05:51:00,2026-03-04 06:19:00,1,P2,5166.86,5166.86,5207.939999999998,5166.86,4.732299999999577,28,BE_after_TP1
2026-03-04 14:00:00,2026-03-04 14:15:00,1,P2,5195.66,5195.66,5239.66,5195.66,5.089999999999873,15,BE_after_TP1
2026-03-04 16:47:00,2026-03-04 17:01:00,-1,P2,5160.14,5160.14,5049.820000000001,5160.14,13.214199999999709,14,BE_after_TP1
2026-03-04 22:10:00,2026-03-04 22:38:00,-1,P2,5130.12,5142.57,5080.320000000001,5142.57,-12.749999999999819,28,SL
2026-03-04 22:48:00,2026-03-04 23:53:00,-1,P2,5138.83,5138.83,5095.629999999999,5138.83,4.99200000000028,65,BE_after_TP1
2026-03-05 02:49:00,2026-03-05 03:14:00,1,P2,5177.26,5177.26,5224.1,5177.26,5.437900000000082,25,BE_after_TP1
2026-03-05 14:49:00,2026-03-05 15:00:00,-1,P2,5162.0,5162.0,5126.639999999999,5162.0,4.031600000000071,11,BE_after_TP1
2026-03-05 15:57:00,2026-03-05 16:25:00,-1,P2,5114.88,5114.88,5047.72,5114.88,7.927099999999791,28,BE_after_TP1
2026-03-05 16:39:00,2026-03-05 17:54:00,-1,P2,5097.32,5097.32,4979.439999999999,5097.32,14.140299999999932,75,BE_after_TP1
2026-03-05 22:06:00,2026-03-05 22:11:00,-1,P2,5064.25,5072.48,5031.330000000002,5072.48,-8.529999999999564,5,SL
2026-03-05 22:34:00,2026-03-06 01:42:00,-1,P2,5077.26,5097.78,4995.180000000002,5097.78,-20.819999999999528,126,SL
2026-03-06 02:43:00,2026-03-06 03:33:00,-1,P2,5077.97,5095.26,5008.81,5095.26,-17.589999999999964,50,SL
2026-03-06 08:23:00,2026-03-06 09:05:00,1,P2,5121.97,5111.53,5163.730000000002,5111.53,-10.74000000000051,42,SL
2026-03-06 13:05:00,2026-03-06 13:21:00,-1,P2,5084.78,5094.56,5045.659999999997,5094.56,-10.080000000000656,16,SL
2026-03-06 13:43:00,2026-03-06 14:03:00,-1,P2,5084.75,5084.75,5012.830000000002,5084.75,8.51019999999953,20,BE_after_TP1
2026-03-06 14:54:00,2026-03-06 15:25:00,-1,P2,5085.69,5085.69,5029.809999999999,5085.69,6.545300000000315,31,BE_after_TP1
2026-03-06 16:39:00,2026-03-06 16:57:00,-1,P2,5089.51,5118.32,4974.270000000002,5118.32,-29.10999999999949,18,SL
2026-03-06 22:40:00,2026-03-09 01:05:00,1,P2,5160.68,5160.68,5217.240000000002,5160.68,6.628600000000096,82,BE_after_TP1
2026-03-09 02:10:00,2026-03-09 05:57:00,-1,P2,5095.65,5095.65,4981.689999999997,5095.65,13.660100000000146,227,BE_after_TP1
2026-03-09 08:01:00,2026-03-09 08:04:00,-1,P2,5081.99,5094.34,5032.589999999998,5094.34,-12.650000000000365,3,SL
2026-03-09 14:19:00,2026-03-09 15:20:00,-1,P2,5088.24,5100.39,5039.639999999998,5100.39,-12.450000000000546,61,SL
2026-03-09 16:41:00,2026-03-09 17:25:00,-1,P2,5083.03,5083.03,4957.989999999999,5083.03,15.01740000000036,44,BE_after_TP1
2026-03-09 22:19:00,2026-03-10 01:02:00,1,P2,5134.75,5134.75,5211.790000000001,5134.75,9.137399999999978,101,BE_after_TP1
2026-03-10 02:19:00,2026-03-10 02:32:00,1,P2,5154.41,5141.78,5204.93,5141.78,-12.93000000000011,13,SL
2026-03-10 08:30:00,2026-03-10 09:08:00,1,P2,5174.21,5174.21,5207.130000000002,5174.21,3.7327000000002952,38,BE_after_TP1
2026-03-10 13:55:00,2026-03-10 14:41:00,1,P2,5174.88,5174.88,5260.319999999999,5174.88,10.16639999999952,46,BE_after_TP1
2026-03-10 15:21:00,2026-03-10 18:33:00,1,P2,5176.66,5176.66,5232.5,5232.5,23.292399999999997,192,TP2
2026-03-11 02:08:00,2026-03-11 05:10:00,1,P2,5194.39,5194.39,5231.350000000003,5194.39,4.227600000000529,182,BE_after_TP1
2026-03-11 08:06:00,2026-03-11 08:30:00,1,P2,5206.64,5198.91,5237.560000000002,5198.91,-8.030000000000474,24,SL
2026-03-11 14:18:00,2026-03-11 15:03:00,-1,P2,5184.47,5184.47,5150.430000000003,5184.47,3.869899999999598,45,BE_after_TP1
2026-03-11 16:30:00,2026-03-11 16:57:00,-1,P2,5174.2,5174.2,5132.799999999998,5174.2,4.771499999999923,27,BE_after_TP1
2026-03-12 02:35:00,2026-03-12 03:25:00,-1,P2,5149.49,5149.49,5103.8099999999995,5149.49,5.2957999999997805,50,BE_after_TP1
2026-03-12 08:24:00,2026-03-12 08:37:00,-1,P2,5141.44,5151.87,5099.719999999998,5151.87,-10.730000000000292,13,SL
2026-03-12 14:30:00,2026-03-12 15:05:00,1,P2,5179.18,5173.37,5202.420000000002,5173.37,-6.1100000000004,35,SL
2026-03-13 15:15:00,2026-03-13 17:56:00,-1,P2,5106.26,5106.26,5043.860000000002,5043.860000000002,26.0639999999994,161,TP2
2026-03-13 22:08:00,2026-03-16 01:00:00,-1,P2,5042.15,5042.15,4999.509999999997,4999.509999999997,17.715400000001228,109,TP2
2026-03-16 02:04:00,2026-03-16 03:00:00,-1,P2,5006.03,5006.03,4913.509999999999,5006.03,11.033699999999861,56,BE_after_TP1
2026-03-17 14:34:00,2026-03-17 15:19:00,-1,P2,5004.31,5012.51,4971.510000000001,5012.51,-8.499999999999819,45,SL
2026-03-17 16:32:00,2026-03-17 16:53:00,1,P2,5026.12,5007.57,5100.320000000001,5007.57,-18.850000000000183,21,SL
2026-03-17 22:00:00,2026-03-18 01:50:00,-1,P2,5001.34,5001.34,4961.18,5001.34,4.619600000000173,168,BE_after_TP1
2026-03-18 14:27:00,2026-03-18 18:27:00,-1,P2,4947.81,4947.81,4831.210000000002,4870.42,37.20049999999993,240,TP1+EOD
2026-03-18 22:46:00,2026-03-19 03:01:00,-1,P2,4844.61,4844.61,4770.45,4844.61,8.784600000000044,193,BE_after_TP1
2026-03-19 05:51:00,2026-03-19 06:10:00,-1,P2,4854.55,4864.66,4814.1100000000015,4864.66,-10.409999999999673,19,SL
2026-03-19 08:29:00,2026-03-19 09:35:00,-1,P2,4846.62,4846.62,4805.94,4805.94,16.88729999999987,66,TP2
2026-03-19 13:17:00,2026-03-19 14:01:00,-1,P2,4689.89,4689.89,4558.090000000001,4689.89,15.845499999999717,44,BE_after_TP1
2026-03-19 14:15:00,2026-03-19 15:11:00,-1,P2,4681.86,4681.86,4614.899999999997,4614.899999999997,27.99060000000136,56,TP2
2026-03-19 16:01:00,2026-03-19 16:53:00,-1,P2,4525.08,4588.8,4270.199999999999,4588.8,-64.02000000000025,52,SL
